,"Cluster 7435Rv0682, rpsL, SSU ribosomal protein S12p (S23e)_3","Cluster 7435Rv0682, rpsL, SSU ribosomal protein S12p (S23e)_4","Cluster 5240Rv3919c, gid, 16S rRNA (guanine(527)-N(7))-methyltransferase (EC 2.1.1.170)_9","Cluster 7435Rv0682, rpsL, SSU ribosomal protein S12p (S23e)_2","Cluster 1237Rv1877, Rv1877, EmrB/QacA family drug resistance transporter_5","Cluster 1884Rv0515, Rv0515, 13E12 repeat family protein, HNH endonuclease domain_9","Cluster 7636Rv2588c, yajC, Preprotein translocase subunit YajC (TC 3.A.5.1.1)_2","Cluster 3010Rv2338c, moeW, Molybdopterin biosynthesis protein MoeW_2","Cluster 3770Rv2982c, gpdA2, Glycerol-3-phosphate dehydrogenase [NAD(P)+] (EC 1.1.1.94)_2","Cluster 2032Rv0001, dnaA, Chromosomal replication initiator protein DnaA_5","Cluster 2633Rv0449c, Rv0449c, COG2907: Amine oxidase, flavin-containing_2","Cluster 4389Rv0427c, xthA, Exodeoxyribonuclease III (EC 3.1.11.2)_2","Cluster 1206Rv2721c, Rv2721c, POSSIBLE CONSERVED TRANSMEMBRANE ALANINE AND GLYCINE RICH PROTEIN_2","Cluster 4980Rv1591, Rv1591, Putative transmembrane protein_6","Cluster 4056Rv0819, mshD, Acetyl-CoA:Cys-GlcN-Ins acetyltransferase, mycothiol synthase MshD (EC 2.3.1.189)_2","Cluster 2049Rv0888, Rv0888, putative exported protein_1","Cluster 3770Rv2982c, gpdA2, Glycerol-3-phosphate dehydrogenase [NAD(P)+] (EC 1.1.1.94)_5","Cluster 5965Rv3773c, Rv3773c, Transcriptional regulator, ArsR family_1","Cluster 6993Rv0880, Rv0880, Transcriptional regulator, MarR family_2","Cluster 3178Rv2777c, Rv2777c, FF domain protein_2","Cluster 3386Rv3041c, Rv3041c, ABC transporter, ATP-binding protein_4","Cluster 4911Rv2671, ribD, 2,5-diamino-6-ribosylamino-pyrimidinone 5-phosphate reductase (EC 1.1.1.302) homolog_1","Cluster 920Rv2823c, Rv2823c, CRISPR-associated protein, Csm1 family_2","Cluster 2979Rv0688, Rv0688, Ferredoxin reductase_2","Cluster 5263Rv1151c, Rv1151c, NAD-dependent protein deacetylase of SIR2 family_2","Cluster 3865Rv1244, lpqZ, Glycine betaine/L-proline transport substrate-binding protein ProX (TC 3.A.1.12.1)_1","Cluster 1039Rv1563c, treY, Malto-oligosyltrehalose synthase (EC 5.4.99.15)_1","Cluster 594Rv0202c, mmpL11, Transmembrane transport protein MmpL11_2","Cluster 963Rv1900c, lipJ, lignin peroxidase LipJ_7","Cluster 5245Rv2080, lppJ, Lipoprotein LppJ_5","Cluster 4056Rv0819, mshD, Acetyl-CoA:Cys-GlcN-Ins acetyltransferase, mycothiol synthase MshD (EC 2.3.1.189)_1","Cluster 5965Rv3773c, Rv3773c, Transcriptional regulator, ArsR family_5","Cluster 3603Rv0062, celA1, Endoglucanase A precursor (EC 3.2.1.4)_3","Cluster 4606Rv0625c, Rv0625c, putative membrane protein_3","Cluster 5263Rv1151c, Rv1151c, NAD-dependent protein deacetylase of SIR2 family_1","Cluster 4070Rv2151c, ftsQ, Cell division protein FtsQ_2","Cluster 521Rv1358, Rv1358, Cyclase homology domain / Predicted ATPase / Transcriptional regulator, LuxR family_5","Cluster 4911Rv2671, ribD, 2,5-diamino-6-ribosylamino-pyrimidinone 5-phosphate reductase (EC 1.1.1.302) homolog_2","Cluster 6484Rv3315c, cdd, Cytidine deaminase (EC 3.5.4.5)_1","Cluster 1404Rv3156, nuoL, NADH-ubiquinone oxidoreductase chain L (EC 1.6.5.3)_3","Cluster 1404Rv3156, nuoL, NADH-ubiquinone oxidoreductase chain L (EC 1.6.5.3)_1","Cluster 3865Rv1244, lpqZ, Glycine betaine/L-proline transport substrate-binding protein ProX (TC 3.A.1.12.1)_3","Cluster 462Rv3447c, eccC4, FtsK/SpoIIIE family protein EccC4, component of Type VII secretion system ESX-4_7","Cluster 2633Rv0449c, Rv0449c, COG2907: Amine oxidase, flavin-containing_1","Cluster 2734Rv2962c, Rv2962c, UDP-glucoronosyl and UDP-glucosyltransferases family protein_13","Cluster 6096Rv1031, kdpC, Potassium-transporting ATPase C chain (EC 3.6.3.12) (TC 3.A.3.7.1)_1","Cluster 2754Rv1526c, Rv1526c, Uncharacterized protein Rv1526c/MT1577_6","Cluster 5346Rv1115, Rv1115, putative exported protein_2","Cluster 1448Rv0234c, gabD1, Succinate-semialdehyde dehydrogenase [NAD] (EC 1.2.1.24); Succinate-semialdehyde dehydrogenase [NADP+] (EC 1.2.1.79)_1","Cluster 581Rv3887c, eccD2, Serine protease mycosin MycP5, component of Type VII secretion system ESX-5_8","Cluster 4961Rv3223c, sigH, RNA polymerase sigma factor RpoE_1","Cluster 2754Rv1526c, Rv1526c, Uncharacterized protein Rv1526c/MT1577_1","Cluster 5659Rv0475, hbhA, Iron-regulated heparin binding hemagglutinin HbhA (Adhesin)_3","Cluster 2178Rv0016c, pbpA, Cell division protein FtsI [Peptidoglycan synthetase] (EC 2.4.1.129)_3","Cluster 1885Rv0020c, fhaA, annexin VII_5","Cluster 5780Rv1972, Rv1972, FIG00821219: MCE associated membrane protein_4","Cluster 619Rv1664, pks9, Polyketide synthase_3","Cluster 6727Rv1233c, Rv1233c, Possible membrane protein_2","Cluster 3881Rv3312c, Rv3312c, Hydrolase, alpha/beta hydrolase fold family_2","Cluster 4569Rv0671, lpqP, Lipoprotein LpqP_5"
"Cluster 2633Rv0449c, Rv0449c, COG2907: Amine oxidase, flavin-containing_2",-0.23543860553381396,-0.3157850630823899,0.07181308891625086,-0.11338733356312558,0.08450554011234018,-0.13887803467128831,0.13467402672074158,0.0,0.0,0.0,1.0,0.0,-0.14872962923589964,0.17380756193088723,-0.13646142745021667,-0.05890219245563795,0.0,-0.1130667415134113,-0.05838212504738084,-0.08908132058228808,0.0,0.0,0.16371794378569132,0.0,0.09628110363511219,-0.20214574769783308,0.0,0.0,0.0,-0.06503735145437829,-0.16015395111020897,0.0,0.0,-0.07579345617535763,0.10468149027731666,0.08404625438226625,0.1773260167774513,0.0,0.06653225170792121,-0.0915409074267381,0.0,0.07714178889290929,-0.08960591332847682,0.450695709343431,0.07678532720403541,0.137338143826116,0.0890362306371212,0.05350713152823593,-0.11347153143574469,0.08602676912926634,0.0,0.14248742730789715,-0.0655375241929666,-0.1170330419813269,-0.14848581082463086,0.0,-0.0660414277687493,-0.08535457484809761,0.0,-0.11618451003935017
"Cluster 4389Rv0427c, xthA, Exodeoxyribonuclease III (EC 3.1.11.2)_2",0.2619586792020491,0.2627578139763519,-0.2064557215030509,0.1220867168595725,-0.2536539488071272,0.0,-0.1470577130850275,0.0,0.09835750990423844,-0.0926118184068322,0.0,1.0,0.0,-0.1755173202932026,0.0,0.0,0.10439733132805272,0.0,0.07254733365822218,0.0,0.06312603441480673,0.0,0.0,0.0,-0.06826080302141187,0.0,0.12542609252298928,-0.0807289666182296,0.0,0.0,0.0,0.0,-0.1497500788994936,0.0,0.0,0.19880965151313268,-0.0813935494745514,0.0,0.0984323979195591,-0.11751524590679917,-0.1295490151509169,0.0,-0.10032521031424887,-0.07850745787429955,-0.10166434203572638,-0.13402750820464662,0.07863099689363813,0.0,0.0,-0.05511878475728501,0.09916167350916011,0.0,-0.09456396275384624,-0.07473232441793151,0.08016696760765757,0.0,0.0,0.0,0.08254857911905376,-0.12315407212387817
"Cluster 1206Rv2721c, Rv2721c, POSSIBLE CONSERVED TRANSMEMBRANE ALANINE AND GLYCINE RICH PROTEIN_2",0.22330625443563398,0.23192066763330532,0.0,0.0,0.0,-0.052924718468672284,0.12458381219284394,0.0,0.0,0.05552829086763341,-0.14872962923589964,0.0,1.0,-0.07837050372394665,0.1991415981534465,0.055874177978263245,0.0,0.16500055359133223,-0.1272773476726435,0.0,-0.11980679477268542,0.0,-0.11707540384787575,-0.09339387287499008,-0.1492095098339232,-0.1114379602163308,0.1209918355874866,0.05860482852971194,0.0,0.0,0.13820720329856592,-0.1516326860856706,0.0,0.0,-0.05249553861117331,0.0,0.0,0.0,0.0,0.07618986922944194,0.0575005190849606,0.0,0.0,0.07167719949647483,-0.05293692892732239,0.0,0.0,0.0,0.051995484599421306,0.0,-0.07244592635641872,0.1026061646951019,0.12298145023095715,0.13799084721757487,0.0,0.0,0.0,0.0,-0.06009654181865399,0.0
"Cluster 4980Rv1591, Rv1591, Putative transmembrane protein_6",-0.354484403565077,-0.32008221396471975,0.24657114366520333,0.0,0.0,-0.17306720940470774,0.2834384794384045,-0.1334345710627674,0.0,0.05634287025415455,0.17380756193088723,-0.1755173202932026,-0.07837050372394665,1.0,-0.1970528410784668,-0.11441805698348792,0.0,0.0,0.0,0.0,0.0,0.1140311036374619,0.07786233339865041,0.0,0.08044116566793426,-0.06793251821914206,0.0,0.0,0.0,-0.08349046403930625,0.0,0.1052619904011006,-0.054051374215278274,-0.0801504834057154,0.06249453870487682,0.0,-0.07553848489835711,0.10203305520378367,-0.10177993634024683,-0.06704142043000932,0.0,0.0,-0.05852963579734728,0.0,0.08052381574881527,0.21664855919180406,0.0,0.0,-0.08166166068516739,0.07186140510811309,0.0,0.0,0.0,-0.10060260514292026,-0.17861790101892797,-0.06979557064416458,0.0,0.07817236839489834,0.0,-0.07227252766667466
"Cluster 4056Rv0819, mshD, Acetyl-CoA:Cys-GlcN-Ins acetyltransferase, mycothiol synthase MshD (EC 2.3.1.189)_2",0.09827660011251774,0.2690517889852478,0.0,0.06261034184351412,0.0,0.12074731574775584,-0.07898278378521208,0.0,0.0,-0.05915766312036355,-0.13646142745021667,0.0,0.1991415981534465,-0.1970528410784668,1.0,0.0,0.10124962176077804,0.11251402936344346,-0.16285301649777104,-0.06997537624360645,0.0,0.09895875679539402,0.0,0.07540455808530382,-0.06698786654983838,0.0,0.0,0.0,0.0674212013441027,0.0,0.605898761105929,0.0,0.0,0.0,-0.08110400178744039,0.0,0.0,0.054380837261891184,-0.059884677526468054,0.0,0.0,0.0,0.09623771549084766,0.11168749258683507,-0.11268360563579367,0.0,0.0,0.1606298833195522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05353287237313567,0.0,0.0,0.059156612947520844,-0.07186781702757926
"Cluster 2049Rv0888, Rv0888, putative exported protein_1",0.0,-0.10461847851730839,0.0,0.0,0.0,0.152104230258257,0.0,0.0,0.0,0.05062383872561554,-0.05890219245563795,0.0,0.055874177978263245,-0.11441805698348792,0.0,1.0,0.0,0.11153968784396101,0.0,0.0,-0.10937767678871453,0.0,-0.06078920766897273,0.0,-0.09881512620012295,0.0,0.0,0.0,-0.0753881114400792,0.10257310796603097,0.10018475269548467,0.0,0.16001661292755218,0.0,-0.10803011335192704,-0.18025658691935428,-0.08272525306218148,-0.05465243089210484,0.0737687389560748,0.05727610594402532,0.0,0.0,0.0,0.0,0.0714897461716849,0.0,0.0,-0.1510983954445675,-0.2087551659335922,0.052039902684277,0.0,-0.06677189084081733,0.0,0.08438614415901746,0.0,-0.06401050862708874,0.07295836128870091,0.06599839805291816,-0.07588099156600663,-0.053478259993496834
"Cluster 3770Rv2982c, gpdA2, Glycerol-3-phosphate dehydrogenase [NAD(P)+] (EC 1.1.1.94)_5",0.09403342438611582,0.1547587435922286,-0.15943585857524498,-0.07278308207342744,0.0,0.0,-0.08712154472670307,0.0,0.48297439327810565,-0.062414025680790776,0.0,0.10439733132805272,0.0,0.0,0.10124962176077804,0.0,1.0,-0.1611073604163938,-0.05785396240528393,0.0,0.0,0.13237352096058333,0.0,-0.10482633725416192,0.050891048114555214,0.07785848894792989,-0.10784437435422732,0.0,-0.22241462531768066,0.0,-0.11325734079420864,0.0,-0.12338624760039561,0.0,0.0,0.0,0.05064649029808699,0.0623421332288265,0.06147062526288457,0.0,0.0,0.11743899860077948,0.0,0.0,-0.11862366035342711,0.0,0.0,0.07609190519905668,0.06732153171697487,-0.09897597454570715,0.0,0.06212753408475171,-0.09732914823081082,0.0,0.0,0.0,0.0,-0.10409773621872144,0.0,0.0
"Cluster 5965Rv3773c, Rv3773c, Transcriptional regulator, ArsR family_1",0.0,0.18246240658568344,-0.1038486361507259,-0.12273786981580026,0.0,-0.08852429965365625,0.0,0.0,0.0,0.0,-0.1130667415134113,0.0,0.16500055359133223,0.0,0.11251402936344346,0.11153968784396101,-0.1611073604163938,1.0,0.0,0.174899894925663,-0.05505796851485201,0.16261101558113508,-0.16115837007160022,-0.23821111408774004,0.0,0.0,0.0,-0.0675605570772969,0.0,0.0,0.10332640378745714,0.21322235358703057,-0.16169192800685284,0.0,0.06565872182299791,-0.08129208586022725,0.0,0.17382092698444518,-0.09786627792821438,0.08104922657041164,0.0,-0.054621246923038685,0.07037829482577096,0.07650496688296536,0.0,0.0,0.0,-0.06941590161464266,0.0,0.06591020485127838,-0.05982300461975222,-0.06415915123497873,0.1267369290571918,0.061987459589288696,-0.060185885817944235,0.056035092179752215,0.11712711598383983,0.054662312966551004,0.05128173781690681,0.0
"Cluster 6993Rv0880, Rv0880, Transcriptional regulator, MarR family_2",-0.1445285500795904,0.0,0.06959617873739857,0.0,0.0,-0.0538287018094571,0.0,0.0,0.0,-0.064988394486148,-0.05838212504738084,0.07254733365822218,-0.1272773476726435,0.0,-0.16285301649777104,0.0,-0.05785396240528393,0.0,1.0,0.0,0.18735330115876353,0.0,0.0,-0.05584031391507813,0.0,-0.09712301047947344,0.08432744179294675,0.0,0.0,0.06977175574522582,-0.15983142207023796,0.0,0.0,0.1175401959990199,0.0,0.0,0.07394580536020756,0.0,0.07687888915380296,-0.06568155210277103,-0.052785056481847004,0.0,0.2084141379791042,-0.07508618323874666,0.0,-0.06660722038856462,0.0,0.0,-0.14131545740462553,0.0,-0.12814722591705696,0.0,0.0,-0.0781473507645408,0.0,0.18169673694085622,0.06729458669084132,0.0,0.0,0.0
"Cluster 3178Rv2777c, Rv2777c, FF domain protein_2",0.14756178910217096,0.1348525948695172,-0.053366877433064286,-0.1302606531332815,-0.08780739014341701,-0.16352255762864948,-0.1350107613594413,-0.16366370324865046,0.06429635609927069,-0.05718166462286223,-0.08908132058228808,0.0,0.0,0.0,-0.06997537624360645,0.0,0.0,0.174899894925663,0.0,1.0,0.0,0.21997949904390093,-0.10466503058152944,-0.11098431680834074,0.10875860181502969,0.0,-0.09078136183381598,0.14495069250886627,0.0,0.0,0.0,0.16039064735831857,-0.09049961048391905,-0.0682006781207582,0.11890023047569111,0.13872724725123323,0.0,0.21920703998749605,0.15261740152515318,0.0,0.0,0.0,0.07288886326739939,0.1281061695294549,0.0,-0.06774886607032582,0.0,0.057685104859795874,0.0,0.0,0.0,-0.05223028481226734,0.18322184980519263,0.2043067592252468,0.0,0.0,-0.0992853126831778,0.0,0.06497820399007256,0.0
"Cluster 3386Rv3041c, Rv3041c, ABC transporter, ATP-binding protein_4",-0.11827132340255692,-0.1280234244582269,0.0,0.0,0.062098995162591375,0.0,-0.12186795989593875,0.0,-0.07573795388677985,0.0,0.0,0.06312603441480673,-0.11980679477268542,0.0,0.0,-0.10937767678871453,0.0,-0.05505796851485201,0.18735330115876353,0.0,1.0,0.0,0.0,-0.10494233368703357,0.0,0.0,0.0,-0.07566810817260682,0.0,0.0,-0.07617731127980824,-0.07364090054024121,-0.07178267252447147,0.05173991166945428,0.09017127832726451,0.09635855595303666,0.0,0.0,-0.0792766369882549,-0.08892262836327278,0.0,0.0,0.0,-0.06109180530969476,0.23237302368127397,0.0,-0.05652101229376724,0.058056756873004045,-0.2677475716444448,0.06292255163602009,0.0,-0.05275500789671665,0.0,-0.06953316512322424,0.06643696609011641,0.13925240373410291,0.0,-0.12120478567526538,0.0,0.14616221771753207
"Cluster 4911Rv2671, ribD, 2,5-diamino-6-ribosylamino-pyrimidinone 5-phosphate reductase (EC 1.1.1.302) homolog_1",0.07040420629532387,0.11557834073854054,-0.11872812850101752,-0.05714855107554394,0.0,-0.09695257414926911,-0.19574314653618322,-0.16669196446257772,0.161108580261032,0.0,0.0,0.0,0.0,0.1140311036374619,0.09895875679539402,0.0,0.13237352096058333,0.16261101558113508,0.0,0.21997949904390093,0.0,1.0,0.0,-0.1542810205128265,0.05319504934936974,0.0,0.0,-0.0833306959299231,-0.09971028140476261,0.056343903712403096,0.0,0.10058116866155056,0.0,0.07019394932851188,0.13107769603853728,0.06322036162475522,0.0,0.862908898236379,0.07764381550878356,0.0,0.06922148587677426,0.0,0.0,0.060400886875693435,0.0,0.0,0.0,-0.05344427536368398,-0.05773336971842536,0.0,0.0,0.0,0.0,0.0,-0.05672660662565594,0.0,0.0,-0.08097216398777422,0.0,0.0
"Cluster 920Rv2823c, Rv2823c, CRISPR-associated protein, Csm1 family_2",-0.18108081655575833,-0.18117001594415355,0.10618857039982228,0.0,0.2104848356255924,0.1438544938931477,0.14371310114395894,0.0,0.0,0.0,0.16371794378569132,0.0,-0.11707540384787575,0.07786233339865041,0.0,-0.06078920766897273,0.0,-0.16115837007160022,0.0,-0.10466503058152944,0.0,0.0,1.0,0.18386588471280546,0.1587999408050825,-0.2657493242432405,-0.052206072487504744,-0.07458850598782776,-0.0893225689854158,0.0,0.0,0.0,-0.0665920689971897,-0.11269913302279586,0.0,0.06875999288608638,0.0,0.0,0.0,-0.06634356145802392,-0.07001420372381165,-0.18209434365798632,-0.050805650625385466,0.0,0.0,0.11778143673618557,0.07859010316750584,0.0,0.0,0.0,0.0,0.050331839375970584,-0.10532846884203055,-0.11741142113407842,0.05351674896768886,-0.05740045114798874,0.0,-0.07012551762224044,-0.05253127588156143,0.0
"Cluster 2979Rv0688, Rv0688, Ferredoxin reductase_2",-0.19851900428929403,-0.1338172557060663,0.33760073220929804,0.09322262427015254,0.18006952713054433,0.0,0.08441377189809997,-0.06841134088505521,-0.08754833500070765,0.10599339963603245,0.0,0.0,-0.09339387287499008,0.0,0.07540455808530382,0.0,-0.10482633725416192,-0.23821111408774004,-0.05584031391507813,-0.11098431680834074,-0.10494233368703357,-0.1542810205128265,0.18386588471280546,1.0,0.0,0.05930718573692993,-0.06087060639683756,0.06609238543309465,0.31703216284769914,0.0,0.0,0.0,-0.12041069675036675,-0.07434342888178826,0.0,-0.0840793237241933,-0.05684130616594422,-0.10110761431307684,0.0,0.0,-0.06611146945135579,0.05282277610243687,0.0,-0.127170945856979,-0.09819562269688431,0.0,0.0,-0.08986597639571745,0.0,-0.13269208276411654,-0.07389317405059243,0.0,-0.1842715139096808,-0.06387722475501702,0.0,0.0,0.08001229955246543,0.0,-0.06208627298276161,-0.05351527707410751
"Cluster 5263Rv1151c, Rv1151c, NAD-dependent protein deacetylase of SIR2 family_2",0.0,0.0,0.0,-0.051475730470878736,0.12558285136052122,0.0,0.0,-0.07475498465478025,-0.09333270387639686,-0.05636525037064966,0.09628110363511219,-0.06826080302141187,-0.1492095098339232,0.08044116566793426,-0.06698786654983838,-0.09881512620012295,0.050891048114555214,0.0,0.0,0.10875860181502969,0.0,0.05319504934936974,0.1587999408050825,0.0,1.0,-0.0771587009114783,-0.0926028408666877,0.0,-0.1095299126837179,0.0,0.0,0.09590888497467139,-0.07452794735608877,-0.07237806038440614,0.705189651865841,0.0,0.0,0.07938294752628278,0.05677136913561344,0.0,0.0,0.0,0.0,0.0,-0.08982853904974722,0.11292910743328934,0.07134732982309032,0.0,0.06404299056380834,0.0,0.0,0.0,-0.08185145927928476,0.0,0.0,0.0,0.16200530689885884,0.05161611034346711,0.0,0.0
"Cluster 3865Rv1244, lpqZ, Glycine betaine/L-proline transport substrate-binding protein ProX (TC 3.A.1.12.1)_1",0.26173211134474555,0.17131933621218048,-0.11293261186435301,0.05232667926552863,-0.10046116851660125,-0.07948814217633546,-0.10761355339272398,-0.05692445249576011,0.20889076444858698,0.05489999523006348,-0.20214574769783308,0.0,-0.1114379602163308,-0.06793251821914206,0.0,0.0,0.07785848894792989,0.0,-0.09712301047947344,0.0,0.0,0.0,-0.2657493242432405,0.05930718573692993,-0.0771587009114783,1.0,0.0,0.0,-0.08540704720241868,0.0536904282102712,-0.08342837708608268,-0.05819464464529296,0.0,0.07075461827054345,-0.07623101956372276,0.0,0.0,0.0,0.12924120746360906,0.08369211847447262,0.055444282291887095,0.26409754588872536,0.06951282360693072,-0.14531959066856096,0.0,0.0,-0.07996126884435996,0.0,0.0,0.0,0.0,-0.10496631367597915,0.0,-0.08055335301384257,0.0,-0.0806714473467558,0.08750687085842808,0.0,0.0,0.0
"Cluster 1039Rv1563c, treY, Malto-oligosyltrehalose synthase (EC 5.4.99.15)_1",0.10935080329789806,0.13527429135082095,-0.09729893433823064,0.0,-0.1476249284404161,0.0,0.0,-0.16746346396896367,-0.06871310639631184,-0.05007336830227974,0.0,0.12542609252298928,0.1209918355874866,0.0,0.0,0.0,-0.10784437435422732,0.0,0.08432744179294675,-0.09078136183381598,0.0,0.0,-0.052206072487504744,-0.06087060639683756,-0.0926028408666877,0.0,1.0,0.0,-0.09602766136837793,0.0,0.0,-0.3193206305790115,-0.0957230823986333,0.0,-0.06440172124066314,0.0,-0.07021009902867982,-0.05962280585987766,0.0,0.06126793498952792,0.0,-0.05727200125758961,0.062109054491336,-0.06995742165770767,0.07775477141873867,0.08701160831098552,-0.12196465754669587,-0.053369856620558105,-0.05435011881557759,0.0,0.05577318968228759,-0.15514199303111043,0.24301754400415912,0.06795964454744455,0.0,0.0,0.1768710349310887,0.0,0.0,-0.22817616955627848
"Cluster 594Rv0202c, mmpL11, Transmembrane transport protein MmpL11_2",0.1481399529953655,0.18187172031221885,-0.16626250103494228,0.0,0.0,0.0,-0.1396178886000559,0.0,-0.05000554655090933,-0.17296467250689512,0.0,-0.0807289666182296,0.05860482852971194,0.0,0.0,0.0,0.0,-0.0675605570772969,0.0,0.14495069250886627,-0.07566810817260682,-0.0833306959299231,-0.07458850598782776,0.06609238543309465,0.0,0.0,0.0,1.0,0.0680312340557953,0.0,0.0,-0.05510241791476269,-0.30519321841034946,0.0,0.0,0.0,0.0,-0.05170288374521644,0.07035777975992719,0.0,-0.10888030887554614,0.08051333796277758,0.0,0.11201841791981072,0.0,0.07995451726697148,-0.05769648299524468,0.0,0.11532770326511911,-0.07164162121753681,0.1575512733656129,0.13051609297338312,0.0,0.0,-0.06815269573044894,-0.19832051941054454,0.059673606708518796,0.0,-0.11225981048661621,0.07251762069060869
"Cluster 963Rv1900c, lipJ, lignin peroxidase LipJ_7",-0.10339663758906495,-0.1552611186576321,0.3507419488811024,0.0,0.12266961169293107,-0.05535826919809042,0.0,0.0,-0.3049456628989703,0.16306055258380042,0.0,0.0,0.0,0.0,0.0674212013441027,-0.0753881114400792,-0.22241462531768066,0.0,0.0,0.0,0.0,-0.09971028140476261,-0.0893225689854158,0.31703216284769914,-0.1095299126837179,-0.08540704720241868,-0.09602766136837793,0.0680312340557953,1.0,0.0,-0.06323476459875664,0.0,0.0,0.0,-0.08441098876396047,-0.12658626576875484,0.0,0.0,-0.05704104911412062,-0.0906151158324886,0.0,0.0,-0.05561090780582736,0.0,0.0,-0.0561443014749876,-0.06031778535934351,-0.07746543005637282,-0.050325168120554355,0.10840198288199017,0.0,0.0,0.0,0.0,0.06428852611162213,0.0,-0.15049038183727342,0.05873478359962451,0.0,0.0
"Cluster 5245Rv2080, lppJ, Lipoprotein LppJ_5",0.0,-0.06503998602879378,0.09600675366064405,0.0,0.062227992940964316,-0.1896533896451857,0.07377574515496248,-0.09597689035417993,0.12507624022920852,0.0,-0.06503735145437829,0.0,0.0,-0.08349046403930625,0.0,0.10257310796603097,0.0,0.0,0.06977175574522582,0.0,0.0,0.056343903712403096,0.0,0.0,0.0,0.0536904282102712,0.0,0.0,0.0,1.0,0.06994303037567239,0.0,0.0,0.0,0.0,0.0,-0.14846131488062717,0.06537770834103346,0.0,0.0,0.0,0.08601280924785096,0.1407695880416817,0.0,0.153618805270437,0.0,0.0,0.0,0.0,0.0,0.0,-0.08034967491058595,0.0,0.0,-0.05494845500452547,0.3224380807328296,0.0,0.07065388959823807,0.0,0.0
"Cluster 4056Rv0819, mshD, Acetyl-CoA:Cys-GlcN-Ins acetyltransferase, mycothiol synthase MshD (EC 2.3.1.189)_1",0.0,0.1182284561036426,0.0,0.0,0.0,0.0,0.0,0.0,-0.0875445618345464,-0.13598784052113497,-0.16015395111020897,0.0,0.13820720329856592,0.0,0.605898761105929,0.10018475269548467,-0.11325734079420864,0.10332640378745714,-0.15983142207023796,0.0,-0.07617731127980824,0.0,0.0,0.0,0.0,-0.08342837708608268,0.0,0.0,-0.06323476459875664,0.06994303037567239,1.0,0.0,0.0,0.09617880242723598,-0.05172205764803998,0.0,-0.10704691910824901,0.0,0.0,-0.09774926201184062,-0.061726333447770974,0.0,0.05759067020855562,0.0,0.0,0.08067146666203512,-0.06975277679261475,0.06341548510059408,0.0,0.0,0.0,-0.06735365598592864,0.055413515923022454,0.0,0.0,0.09856226009583555,0.0,0.06625828483747545,0.1016446681566331,-0.07958971382351185
"Cluster 5965Rv3773c, Rv3773c, Transcriptional regulator, ArsR family_5",-0.09708336643515104,-0.06645468440537802,0.10014460499942807,0.06247332957380006,0.0,-0.14021914703826058,0.0,0.0,0.0,0.0,0.0,0.0,-0.1516326860856706,0.1052619904011006,0.0,0.0,0.0,0.21322235358703057,0.0,0.16039064735831857,-0.07364090054024121,0.10058116866155056,0.0,0.0,0.09590888497467139,-0.05819464464529296,-0.3193206305790115,-0.05510241791476269,0.0,0.0,0.0,1.0,0.0,0.0,0.17205227430431783,0.0,0.0,0.1672102306384199,-0.07074420555385695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11372906573706841,0.0,0.0,0.0,0.07670998855314025,0.0,0.0,-0.0677008543316191,-0.33862490279057267,0.0,-0.05929530427186375,0.0,0.0,0.06071431851915651
"Cluster 3603Rv0062, celA1, Endoglucanase A precursor (EC 3.2.1.4)_3",-0.2441412360470597,-0.21551338497806327,0.12846252853753473,0.18833116663433386,0.0,0.06648991578114793,0.08485021323523202,0.0,-0.1414511460388906,0.06375140906766368,0.0,-0.1497500788994936,0.0,-0.054051374215278274,0.0,0.16001661292755218,-0.12338624760039561,-0.16169192800685284,0.0,-0.09049961048391905,-0.07178267252447147,0.0,-0.0665920689971897,-0.12041069675036675,-0.07452794735608877,0.0,-0.0957230823986333,-0.30519321841034946,0.0,0.0,0.0,0.0,1.0,0.05223634010512103,-0.10542092228072797,-0.06585070782598779,0.0,-0.07119714933746515,-0.06561973852247971,0.0,0.0,-0.057301948006949315,0.0,0.0,0.0,0.0,0.0,-0.054855247137559154,-0.1022018749282396,0.0,0.0,0.0,0.07610987300862229,0.0,0.05351135762968294,-0.05608937134146452,0.0,0.0,0.0,0.0
"Cluster 4606Rv0625c, Rv0625c, putative membrane protein_3",0.06776855845659287,0.0,0.08732038739043227,0.09075435873032019,0.0,0.0,-0.0645190504976442,0.0,-0.0808979768757382,-0.05431292737852062,-0.07579345617535763,0.0,0.0,-0.0801504834057154,0.0,0.0,0.0,0.0,0.1175401959990199,-0.0682006781207582,0.05173991166945428,0.07019394932851188,-0.11269913302279586,-0.07434342888178826,-0.07237806038440614,0.07075461827054345,0.0,0.0,0.0,0.0,0.09617880242723598,0.0,0.05223634010512103,1.0,-0.16747528215029506,0.0,-0.09349403747710924,0.06509151906645307,0.0,0.0,0.27114160563796236,0.06000058348340142,0.052790570127624115,-0.08690665145603982,0.0,0.0,0.0,0.0,0.0,0.0,0.09318357975798251,0.0,-0.07507998275628999,-0.17968596212912505,0.0,0.0528338263303367,0.0,0.09756194553532532,0.0,0.0
