,"Cluster 2211Rv2447c, folC, Dihydrofolate synthase (EC 6.3.2.12) @ Folylpolyglutamate synthase (EC 6.3.2.17)_1","Cluster 5949Rv1556, Rv1556, Transcriptional regulator, AcrR family_4","Cluster 2954Rv3423c, alr, Alanine racemase (EC 5.1.1.1)_2","Cluster 3005Rv0848, cysK2, Pyridoxal-5'-phosphate-dependent enzyme beta superfamily (fold type II)_8","Cluster 4486Rv2764c, thyA, Thymidylate synthase (EC 2.1.1.45)_4","Cluster 8101Rv3019c, esxR, ESAT-6-like protein EsxH, 10 kDa antigen CFP7_4","Cluster 7466Rv1942c, mazF5, Death on curing protein, Doc toxin_2","Cluster 5385Rv0481c, Rv0481c, Aliphatic amidase AmiE (EC 3.5.1.4)_1","Cluster 1404Rv3156, nuoL, NADH-ubiquinone oxidoreductase chain L (EC 1.6.5.3)_3","Cluster 4806Rv0044c, Rv0044c, Putative oxidoreductase_4","Cluster 1227Rv3498c, mce4B, MCE-family protein MceB_4","Cluster 2893Rv2540c, aroF, Chorismate synthase (EC 4.2.3.5)_1","Cluster 5651Rv1016c, lpqT, Lipoprotein LpqT_2","Cluster 3316Rv3796, Rv3796, Putative uncharacterized protein BCG_3858_2","Cluster 1916Rv2996c, serA1, D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)_4","Cluster 4053Rv0642c, mmaA4, Methoxy mycolic acid synthase MmaA4_2","Cluster 2262Rv2425c, Rv2425c, VWA containing CoxE family protein_1","Cluster 2698Rv3565, aspB, Valine--pyruvate aminotransferase (EC 2.6.1.66)_5","Cluster 3289Rv2560, Rv2560, PROBABLE PROLINE AND GLYCINE RICH TRANSMEMBRANE PROTEIN_6","Cluster 4603Rv2002, fabG3, 3-alpha-(or 20-beta)-hydroxysteroid dehydrogenase (EC 1.1.1.53)_6","Cluster 4028Rv0954, Rv0954, 34 kDa antigenic protein_2","Cluster 4536Rv2325c, Rv2325c, Transmembrane component of energizing module of ECF transporters in Mycobacteria_2","Cluster 594Rv0202c, mmpL11, Transmembrane transport protein MmpL11_2","Cluster 2331Rv1182, papA3, PKS-associated protein PapA, condensation domain-containing_4","Cluster 5949Rv1556, Rv1556, Transcriptional regulator, AcrR family_2","Cluster 1031Rv0803, purL, Phosphoribosylformylglycinamidine synthase, synthetase subunit (EC 6.3.5.3)_4","Cluster 235Rv1662, pks8, Polyketide synthase_7","Cluster 7466Rv1942c, mazF5, Death on curing protein, Doc toxin_3","Cluster 6226Rv0984, moaB2, Molybdenum cofactor biosynthesis protein MoaB_2","Cluster 2003Rv2733c, Rv2733c, tRNA-i(6)A37 methylthiotransferase (EC 2.8.4.3)_5","Cluster 7971Rv2021c, Rv2021c, Antitoxin HigA_1","Cluster 3205Rv0162c, adhE1, Alcohol dehydrogenase (EC 1.1.1.1)_3","Cluster 1404Rv3156, nuoL, NADH-ubiquinone oxidoreductase chain L (EC 1.6.5.3)_1","Cluster 3682Rv3419c, gcp, N(6)-L-threonylcarbamoyladenine synthase (EC 2.3.1.234)_2","Cluster 9108Rv2128, Rv2128, putative membrane protein_1","Cluster 3010Rv2338c, moeW, Molybdopterin biosynthesis protein MoeW_2","Cluster 4169Rv1357c, Rv1357c, Sensory box/GGDEF family protein_2","Cluster 7971Rv2021c, Rv2021c, Antitoxin HigA_2","Cluster 3682Rv3419c, gcp, N(6)-L-threonylcarbamoyladenine synthase (EC 2.3.1.234)_1","Cluster 5651Rv1016c, lpqT, Lipoprotein LpqT_4"
"Cluster 1227Rv3498c, mce4B, MCE-family protein MceB_4",-0.21700066305093307,0.05671592263670703,0.0,0.0,0.07665068007000356,0.0,0.0,0.0,-0.1285455900804348,-0.05239507656518785,1.0,-0.08860253837779383,0.0,0.0,0.0,-0.11966396105074825,-0.09386255721981637,-0.06733781229431676,0.0,0.0,-0.05654935495218483,0.0,0.0,0.0,0.0,0.0,0.10483271885000478,-0.0851345453512873,0.0,0.0858977917759574,0.0,0.10171495066800516,0.10617865750538026,0.0,0.0,-0.0703482585675386,-0.09109891999411292,0.0,0.0,-0.06965499095970204
"Cluster 2893Rv2540c, aroF, Chorismate synthase (EC 4.2.3.5)_1",0.06449726097605514,0.0,0.0,-0.07441683357788208,0.09035491348138756,-0.209015619158846,-0.14166776374009948,0.06482428765268555,-0.08887935360719261,0.0,-0.08860253837779383,1.0,-0.09041140813549209,-0.09804134850457714,-0.10680921869409353,-0.0524352865197762,0.0,0.0,0.0,-0.0807178934413004,0.05197834646925094,-0.06888635542663699,0.06992953408112458,0.0,-0.12751182480646914,0.0,-0.1255502726909609,0.0,-0.10156988205954455,0.0,0.0,-0.10884782305699159,0.0,0.0,-0.07554233389835384,0.0,0.0,-0.08593083298327346,0.0,-0.08263178631264967
"Cluster 5651Rv1016c, lpqT, Lipoprotein LpqT_2",-0.16172248042553344,-0.11008486838047832,0.0,0.0620089051898867,-0.1454684356922911,0.0,0.1430242265282889,-0.05154518402369923,0.13679205055676466,-0.11141040308916225,0.0,-0.09041140813549209,1.0,0.10093283665871984,0.0,0.0,-0.05268205111830469,0.0,0.0,0.0,-0.061944457238577486,0.08705053634471402,0.0,0.0,0.07095046721110104,0.0,0.0,0.0,-0.06228998049064679,0.0,0.06874717713415958,0.0,-0.17905371046230156,0.0,0.0,0.0,-0.08362375709863117,0.0,0.0,-0.252691476152658
"Cluster 3316Rv3796, Rv3796, Putative uncharacterized protein BCG_3858_2",-0.0771601618405151,0.0,-0.17408438166352416,0.0,0.0,0.09257319067599325,0.06668430458925804,0.0,0.07034899671363012,-0.10378017441529841,0.0,-0.09804134850457714,0.10093283665871984,1.0,0.0,0.0,-0.07869922380816691,0.0,0.0,0.06904298966160652,-0.16891229207363037,0.0,-0.07219111975680531,0.07545748339602498,0.0,0.0,0.08964496257910635,0.0,0.0,0.124263053124122,0.11815681791979145,0.12728294222894934,-0.10664627496560976,-0.05869031016798163,-0.06515871997576375,0.0,-0.2662975328052009,0.0,0.0,0.0
"Cluster 1916Rv2996c, serA1, D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)_4",0.0,0.06504497654373897,-0.1278024558274651,0.0,-0.08397430050579406,0.14973492275711972,0.0,0.0,0.0,-0.2286672544263756,0.0,-0.10680921869409353,0.0,0.0,1.0,0.0,-0.10935234496642114,-0.06507204362256098,0.0,0.15954598745066922,0.0,0.0,-0.05651697357087049,-0.08149946351777654,0.0,0.0,-0.09348991558479901,-0.09540797318774635,0.09134026444699041,0.06000776400982352,0.1134467930910653,0.0,-0.11235565924016579,0.0,0.0,-0.05495830631699523,-0.08530585448393163,-0.10939978132043912,0.08455322968613116,0.0
"Cluster 4053Rv0642c, mmaA4, Methoxy mycolic acid synthase MmaA4_2",0.0,-0.07988229184050707,0.0,-0.07392498122457541,0.0,0.0,0.0,-0.0912705181967723,0.0,0.08908270481056327,-0.11966396105074825,-0.0524352865197762,0.0,0.0,0.0,1.0,0.0,0.09017792265100076,0.09107047630149151,0.0,0.07802222831560378,-0.1181463883212213,-0.0555669184782049,0.0,0.0,0.0,-0.14914186081377662,0.0,-0.06399094264229725,0.0,-0.20146930798421445,-0.09991026734225918,0.1102888334589517,0.0,-0.09257441457685732,-0.06137628770180602,0.08022072496711576,0.06997221788231321,0.08114316458669658,0.0
"Cluster 2262Rv2425c, Rv2425c, VWA containing CoxE family protein_1",0.05186036283910484,0.0,0.0,0.0,0.09949611011415971,0.0,0.0,0.13032130459729463,-0.12978595397001894,0.0,-0.09386255721981637,0.0,-0.05268205111830469,-0.07869922380816691,-0.10935234496642114,0.0,1.0,0.08075789947470809,-0.11649648574676037,0.0,0.0,-0.0718450634185639,0.0,0.06881671666314167,0.0,0.0,0.08581682290418723,0.0,0.0,-0.1287012238627792,-0.0639685597868883,-0.06394882331456307,0.06227178485967657,0.09335842624467877,0.0,0.0,0.06899716260786816,0.05313304858420848,-0.09273232125103018,0.0
"Cluster 2698Rv3565, aspB, Valine--pyruvate aminotransferase (EC 2.6.1.66)_5",0.14485743488459263,0.052331974659003626,0.05056314969656723,-0.07480068692701257,-0.07575402473903319,0.0,-0.1175898348465618,0.0,-0.14420944333558558,0.1572095416258609,-0.06733781229431676,0.0,0.0,0.0,-0.06507204362256098,0.09017792265100076,0.08075789947470809,1.0,-0.08160224373162284,-0.08861929079270853,0.0,-0.08066516580671744,0.0,0.0,0.0,-0.09710720457097166,-0.07971346897609877,0.0,0.0,0.08813626304896423,-0.09242734552740021,-0.22569053989411458,0.0,0.06891942614506424,-0.05060574364956156,0.0,0.0,0.0,0.0,0.0
"Cluster 3289Rv2560, Rv2560, PROBABLE PROLINE AND GLYCINE RICH TRANSMEMBRANE PROTEIN_6",0.07922666841594615,-0.08217115282384899,-0.051452677027921404,-0.08141275752970928,-0.17870882902430105,-0.0873519737021415,0.0,0.0,0.05621425994004478,-0.08097689804280638,0.0,0.0,0.0,0.0,0.0,0.09107047630149151,-0.11649648574676037,-0.08160224373162284,1.0,0.0,0.0,0.07862972959990365,0.06471040997079926,0.07938864383909748,0.0,0.0,0.0,-0.06659291733932608,-0.07995846532420003,0.08695962910658683,0.0,0.0,0.0,-0.09213324475132469,0.0,0.0,0.0,0.0,0.0,-0.10597647544763886
"Cluster 4603Rv2002, fabG3, 3-alpha-(or 20-beta)-hydroxysteroid dehydrogenase (EC 1.1.1.53)_6",0.0,-0.050673241466516666,0.0,0.11355060934163683,0.0,0.0,0.0,-0.2001523086031962,0.0,0.0,0.0,-0.0807178934413004,0.0,0.06904298966160652,0.15954598745066922,0.0,0.0,-0.08861929079270853,0.0,1.0,-0.05188435144232254,0.08232228763904124,-0.12389910484345758,-0.10587813353312764,0.13881343714731942,0.11584451089385929,0.0,0.0,0.11560585865386186,0.0,0.08706230106029006,0.0,0.0,0.0,0.08948131544514984,-0.10933811813057166,0.0,-0.07056309551763659,0.09650807822726686,0.0
"Cluster 4028Rv0954, Rv0954, 34 kDa antigenic protein_2",0.1075125927447944,-0.24511657771012832,0.07850910949225776,0.0,-0.08545525213184084,0.0,-0.051513855271708694,-0.11633989824521182,-0.11274652758175976,0.0,-0.05654935495218483,0.05197834646925094,-0.061944457238577486,-0.16891229207363037,0.0,0.07802222831560378,0.0,0.0,0.0,-0.05188435144232254,1.0,-0.06018234201148468,0.0,0.0,-0.2410981279355832,-0.05788728913404796,0.0,0.06416640286297141,0.0,-0.17740565867658217,-0.2117838782264278,-0.05094221590676211,0.0,0.05562165997953072,-0.09310515803239916,0.0,0.15536352056273942,0.05880082099352401,0.0,-0.1132829809153077
"Cluster 4536Rv2325c, Rv2325c, Transmembrane component of energizing module of ECF transporters in Mycobacteria_2",0.0,0.0,0.0,0.0,-0.08953710816382575,0.0,0.1315581219505448,0.0,0.0,-0.05105111003071924,0.0,-0.06888635542663699,0.08705053634471402,0.0,0.0,-0.1181463883212213,-0.0718450634185639,-0.08066516580671744,0.07862972959990365,0.08232228763904124,-0.06018234201148468,1.0,-0.07517554623516542,0.0,0.0,0.0,0.16907110564062688,-0.09044958243812844,0.0,0.0,0.10875390087793486,0.1314915901640281,-0.053795870234145414,-0.07632358599694437,0.0,0.0,0.0,0.0676498116014255,0.0,-0.08627324387428797
"Cluster 594Rv0202c, mmpL11, Transmembrane transport protein MmpL11_2",-0.14241976873617448,-0.06796042706739619,0.0,0.0,-0.19533622253614188,0.07028428945621375,-0.17966922638337152,0.06505955306923718,-0.05333429128901716,-0.07489817376636583,0.0,0.06992953408112458,0.0,-0.07219111975680531,-0.05651697357087049,-0.0555669184782049,0.0,0.0,0.06471040997079926,-0.12389910484345758,0.0,-0.07517554623516542,1.0,-0.0689711042580776,-0.24691462002342712,0.06911629936735823,0.0,0.09962407835959525,-0.1364401332349641,0.0,0.0,0.0,0.0,0.09560044213419004,-0.08116515863989757,0.0,0.12032641354668523,0.0,-0.18830044480196168,0.0
"Cluster 2331Rv1182, papA3, PKS-associated protein PapA, condensation domain-containing_4",0.06154793388408426,0.0,0.0,-0.17204747290780012,0.06648427303534567,-0.13171527429697522,0.06507328265956246,0.07149099170943528,-0.14477150106096845,0.08637484430527469,0.0,0.0,0.0,0.07545748339602498,-0.08149946351777654,0.0,0.06881671666314167,0.0,0.07938864383909748,-0.10587813353312764,0.0,0.0,-0.0689711042580776,1.0,0.0,-0.07399112547383019,0.0,0.07853140147314093,-0.10190191262449985,0.08077064826115116,-0.11450898592757935,0.0,0.12015548602097402,0.0,0.0,0.15517171645814298,-0.1012009335409249,0.11753449797728839,0.0,0.07785158896165045
"Cluster 5949Rv1556, Rv1556, Transcriptional regulator, AcrR family_2",0.0,0.10125040516350743,-0.05114260674400453,0.07787404085147794,0.0,0.0,0.10165998671738101,-0.06335135323234557,0.0,0.072343319317479,0.0,-0.12751182480646914,0.07095046721110104,0.0,0.0,0.0,0.0,0.0,0.0,0.13881343714731942,-0.2410981279355832,0.0,-0.24691462002342712,0.0,1.0,0.0,0.0,-0.11080055520233836,0.056672076663804555,0.061800479832184195,0.0,-0.07241087434904506,0.0,-0.07047304123608855,0.09231212574810352,0.0,-0.059140897520120396,0.0,0.06629528393490844,0.06963123470071415
"Cluster 1031Rv0803, purL, Phosphoribosylformylglycinamidine synthase, synthetase subunit (EC 6.3.5.3)_4",0.0,-0.11065465694406648,-0.12356239591687791,0.11617860802499612,-0.11263864030717298,0.0,-0.051793897477387094,-0.09776812191248417,0.15912108429062494,-0.05254676787767517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09710720457097166,0.0,0.11584451089385929,-0.05788728913404796,0.0,0.06911629936735823,-0.07399112547383019,0.0,1.0,0.0,0.0,0.0,0.0,0.11346188281158723,0.0,-0.12109114944948428,0.0,-0.06611356686557032,0.07670068083214106,0.06867776688137926,-0.1892243889378775,0.06758928250946673,0.0786941175355981
"Cluster 235Rv1662, pks8, Polyketide synthase_7",-0.24720770717701343,0.0,-0.07936442826945057,0.06466770006761585,0.0,0.06384759046922256,0.0,0.07891435742882102,0.07909068465088431,-0.06580634312936791,0.10483271885000478,-0.1255502726909609,0.0,0.08964496257910635,-0.09348991558479901,-0.14914186081377662,0.08581682290418723,-0.07971346897609877,0.0,0.0,0.0,0.16907110564062688,0.0,0.0,0.0,0.0,1.0,0.052765495549907476,0.0,-0.07254583257754091,0.0,0.05868120475627737,-0.08389417821286463,-0.1098523822980626,0.11540144990643052,0.08681123832802351,0.0,-0.1193165577162741,-0.14278787133832774,-0.10306996444866666
"Cluster 7466Rv1942c, mazF5, Death on curing protein, Doc toxin_3",0.0,0.0661282914302325,0.0,-0.06771749199660487,0.12608980263908878,-0.08563306277977921,-0.0975978969383865,0.13695925276433893,0.0,0.0,-0.0851345453512873,0.0,0.0,0.0,-0.09540797318774635,0.0,0.0,0.0,-0.06659291733932608,0.0,0.06416640286297141,-0.09044958243812844,0.09962407835959525,0.07853140147314093,-0.11080055520233836,0.0,0.052765495549907476,1.0,-0.058407813095641664,-0.12537416044284952,-0.06539131949138782,0.0,0.07511643748462057,0.12784627143052443,0.0,0.0,0.0,0.17404736262235107,-0.07414830229089399,0.0
"Cluster 6226Rv0984, moaB2, Molybdenum cofactor biosynthesis protein MoaB_2",-0.0811657544800822,-0.055715537955572034,0.0,0.0,-0.08900111035067669,0.06044132549787026,0.0,-0.08720650295067588,0.0,0.0,0.0,-0.10156988205954455,-0.06228998049064679,0.0,0.09134026444699041,-0.06399094264229725,0.0,0.0,-0.07995846532420003,0.11560585865386186,0.0,0.0,-0.1364401332349641,-0.10190191262449985,0.056672076663804555,0.0,0.0,-0.058407813095641664,1.0,-0.08843983242770022,0.0,0.06530309648104156,0.0,0.0,0.0,0.0,-0.05178907719633045,-0.06278019851890314,0.07734518807046051,0.0
"Cluster 2003Rv2733c, Rv2733c, tRNA-i(6)A37 methylthiotransferase (EC 2.8.4.3)_5",0.09157388045989998,0.0,0.0,0.09606391663271165,-0.08631810654391436,0.0,0.0,0.0801686352796186,0.0,0.0,0.0858977917759574,0.0,0.0,0.124263053124122,0.06000776400982352,0.0,-0.1287012238627792,0.08813626304896423,0.08695962910658683,0.0,-0.17740565867658217,0.0,0.0,0.08077064826115116,0.061800479832184195,0.0,-0.07254583257754091,-0.12537416044284952,-0.08843983242770022,1.0,0.11875419455209603,0.0,0.0,-0.06841167851405221,-0.09850473993290634,0.0,-0.08206877985337827,0.0,0.0,-0.055311792866953
"Cluster 7971Rv2021c, Rv2021c, Antitoxin HigA_1",0.0,0.10373123120478718,-0.10779343419050628,0.0,-0.1558494974541187,0.08515339632849835,0.07143335009632311,0.0,0.0,-0.14316618843080156,0.0,0.0,0.06874717713415958,0.11815681791979145,0.1134467930910653,-0.20146930798421445,-0.0639685597868883,-0.09242734552740021,0.0,0.08706230106029006,-0.2117838782264278,0.10875390087793486,0.0,-0.11450898592757935,0.0,0.11346188281158723,0.0,-0.06539131949138782,0.0,0.11875419455209603,1.0,0.112502107084021,-0.07919531375045842,0.0,0.07897110741951992,0.0,0.0,-0.4579639111152708,0.06787458815188457,0.0
"Cluster 3205Rv0162c, adhE1, Alcohol dehydrogenase (EC 1.1.1.1)_3",0.0,-0.06256490396006346,-0.07010670842780811,0.0,0.0,0.05929352508837558,0.0,0.0,0.07073289828105842,-0.14182261065074148,0.10171495066800516,-0.10884782305699159,0.0,0.12728294222894934,0.0,-0.09991026734225918,-0.06394882331456307,-0.22569053989411458,0.0,0.0,-0.05094221590676211,0.1314915901640281,0.0,0.0,-0.07241087434904506,0.0,0.05868120475627737,0.0,0.06530309648104156,0.0,0.112502107084021,1.0,0.0,0.06776864887183433,0.10356368815749545,0.09642148806566103,-0.09836214354063796,0.0,-0.09011094891166693,-0.055308822600095606
