,"Cluster 491Rv0667, rpoB, DNA-directed RNA polymerase beta subunit (EC 2.7.7.6)_4","Cluster 491Rv0667, rpoB, DNA-directed RNA polymerase beta subunit (EC 2.7.7.6)_3","Cluster 491Rv0667, rpoB, DNA-directed RNA polymerase beta subunit (EC 2.7.7.6)_10","Cluster 1206Rv2721c, Rv2721c, POSSIBLE CONSERVED TRANSMEMBRANE ALANINE AND GLYCINE RICH PROTEIN_2","Cluster 4738Rv1484, inhA, Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9)_1","Cluster 415Rv0668, rpoC, DNA-directed RNA polymerase beta' subunit (EC 2.7.7.6)_6","Cluster 1237Rv1877, Rv1877, EmrB/QacA family drug resistance transporter_5","Cluster 5025Rv1597, Rv1597, Methyltransferase_1","Cluster 3554Rv1543, Rv1543, Oxidoreductase, short-chain dehydrogenase/reductase family_4","Cluster 3865Rv1244, lpqZ, Glycine betaine/L-proline transport substrate-binding protein ProX (TC 3.A.1.12.1)_1","Cluster 3554Rv1543, Rv1543, Oxidoreductase, short-chain dehydrogenase/reductase family_2","Cluster 1068Rv1633, uvrB, Excinuclease ABC subunit B_2","Cluster 4237Rv3516, echA19, Enoyl-CoA hydratase (EC 4.2.1.17)_2","Cluster 2117Rv2680, Rv2680, Uncharacterized protein Q1 colocalized with Q_8","Cluster 2178Rv0016c, pbpA, Cell division protein FtsI [Peptidoglycan synthetase] (EC 2.4.1.129)_3","Cluster 3178Rv2777c, Rv2777c, FF domain protein_2","Cluster 2754Rv1526c, Rv1526c, Uncharacterized protein Rv1526c/MT1577_1","Cluster 2804Rv0867c, rpfA, Resuscitation-promoting factor RpfA_1","Cluster 3865Rv1244, lpqZ, Glycine betaine/L-proline transport substrate-binding protein ProX (TC 3.A.1.12.1)_3","Cluster 3881Rv3312c, Rv3312c, Hydrolase, alpha/beta hydrolase fold family_2","Cluster 1396Rv0669c, Rv0669c, Alkaline ceramidase_2","Cluster 619Rv1664, pks9, Polyketide synthase_3","Cluster 5862Rv3055, Rv3055, Transcriptional regulator, AcrR family_2","Cluster 3598Rv3124, moaR1, transcriptional regulator, AfsR/DnrI/RedD family_1","Cluster 3178Rv2777c, Rv2777c, FF domain protein_7","Cluster 462Rv3447c, eccC4, FtsK/SpoIIIE family protein EccC4, component of Type VII secretion system ESX-4_7","Cluster 577Rv1683, Rv1683, Polyhydroxyalkanoic acid synthase_3","Cluster 3137Rv2786c, ribF, FMN adenylyltransferase (EC 2.7.7.2) / Riboflavin kinase (EC 2.7.1.26)_3","Cluster 4737Rv1964, yrbE3A, Conserved hypothetical integral membrane protein YrbEa_3","Cluster 3074Rv1737c, narK2, Nitrate/nitrite transporter NarK_1","Cluster 2401Rv0473, Rv0473, putative membrane protein_3","Cluster 573Rv3239c, Rv3239c, EmrB/QacA family drug resistance transporter_1","Cluster 5665Rv0956, purN, Phosphoribosylglycinamide formyltransferase (EC 2.1.2.2)_4","Cluster 2940Rv2265, Rv2265, Uncharacterized protein Rv2265/MT2327_3","Cluster 3137Rv2786c, ribF, FMN adenylyltransferase (EC 2.7.7.2) / Riboflavin kinase (EC 2.7.1.26)_1","Cluster 3136Rv0389, purT, Phosphoribosylglycinamide formyltransferase 2 (EC 2.1.2.-)_1","Cluster 1039Rv1563c, treY, Malto-oligosyltrehalose synthase (EC 5.4.99.15)_1","Cluster 3386Rv3041c, Rv3041c, ABC transporter, ATP-binding protein_2","Cluster 4913Rv1339, Rv1339, Metal-dependent hydrolases of the beta-lactamase superfamily III_2","Cluster 3734Rv3838c, pheA, Prephenate dehydratase (EC 4.2.1.51)_2"
"Cluster 3554Rv1543, Rv1543, Oxidoreductase, short-chain dehydrogenase/reductase family_2",-0.10957710063910135,-0.053824294396826025,0.0,0.0,0.0,-0.2631109043592648,-0.1594073218753342,-0.057533832782236845,0.9431146199970349,-0.07338715619446835,1.0,0.0,0.0,0.0,0.0,0.0,0.05161630377846697,0.0,0.0,0.0,0.0,0.0,0.0738514418983161,0.13892234586392604,-0.07414719198439705,0.0,0.08253863416777676,0.0,-0.09314775671842099,0.0,0.0,0.0,0.0,-0.12543666359566133,0.0754234640128346,-0.07068116366050074,0.0,-0.07809298199227158,0.0,0.0
"Cluster 1068Rv1633, uvrB, Excinuclease ABC subunit B_2",-0.3304341807246582,0.1980293443275802,0.15744820490229644,0.051219580360992736,0.0,0.0,-0.22345826894049076,-0.21595474204383067,0.051155883543609226,0.08987889205210395,0.0,1.0,0.16336983038157737,0.0,0.0,0.32292307037234036,0.0,0.0,0.13021687114276032,0.0,0.0,0.06978085208169434,0.0,0.09863112642281213,0.2641968788931052,0.0,0.07342627877770713,-0.09297032763134523,0.16938644291039875,0.0,-0.10064819849075379,0.15795088116505684,0.0,0.1067164352792063,-0.12738179958826928,0.05361997691534566,0.0,0.0709393884879953,0.0,0.162465488331926
"Cluster 4237Rv3516, echA19, Enoyl-CoA hydratase (EC 4.2.1.17)_2",-0.40861492223179424,0.26843834193401733,0.17039067059778862,0.24318137124742642,0.0,0.0,-0.20902286235254527,-0.19682541466330933,0.0,0.0,0.0,0.16336983038157737,1.0,-0.09495683009764874,0.0,0.21581569381466215,0.052041854948714474,0.06200840423265487,0.07115326889867556,0.059269753261674364,0.05385710027376663,0.0,0.06318421296384363,0.08750701903093551,0.1878311979885389,-0.09123164758675527,0.0,0.0,0.11747098950079708,-0.09528131696720364,0.0,0.0,0.20745109427457942,0.0,-0.13805234900134714,0.09267651334737835,0.0,0.12477836201022999,-0.09356476795490457,0.11391134304034507
"Cluster 2117Rv2680, Rv2680, Uncharacterized protein Q1 colocalized with Q_8",0.22030400107132256,-0.15592179399548117,0.0,-0.16808698171160044,0.06683403526203836,0.0,0.060356212794540655,0.07695501978738314,0.0,-0.10536842398331761,0.0,0.0,-0.09495683009764874,1.0,0.0,0.05088875344115808,-0.22046727779869088,0.0,-0.09074200623946052,0.0,0.07254193188905152,0.0,-0.07838553694832529,0.0,0.0,0.07186376979034233,0.06335419872841853,0.0,0.0,0.0,0.1373235935473179,-0.22427038152221238,0.0,0.0,0.054607323869058165,-0.05059276726891197,0.0,-0.10024895683063274,0.08618961965010682,0.0
"Cluster 2178Rv0016c, pbpA, Cell division protein FtsI [Peptidoglycan synthetase] (EC 2.4.1.129)_3",-0.06335203360004396,0.09372155742474363,0.0,0.0,-0.12059442167329958,0.05112515778904088,0.0,0.0,0.0,0.15736832195325084,0.0,0.0,0.0,0.0,1.0,0.10917210877873583,-0.0525753593576005,0.0,0.08354492511590429,0.0,0.0,0.0,0.0,0.11168900130773063,0.08488673055002634,0.0,0.0,0.07081890817894938,0.0,0.0,-0.05345341520249245,0.05256817202167959,0.0,0.0,0.06324809969063616,0.0,0.06286628756843665,0.0,-0.05735176670128098,0.09955554265796092
"Cluster 3178Rv2777c, Rv2777c, FF domain protein_2",-0.3051841794555275,0.14680297888270374,0.13960250706558383,0.0,0.0,0.0,-0.1908825859496789,-0.17517182779729698,-0.05838237291404463,0.0,0.0,0.32292307037234036,0.21581569381466215,0.05088875344115808,0.10917210877873583,1.0,0.0,0.0,0.0,0.0,0.05292620391653095,0.0,0.06352210190815735,0.2170687104368738,0.7306043487949938,0.0,0.05593479530827939,0.0,0.12089951919096185,0.0,-0.10592739151882415,0.12753868070380706,0.0,0.0,0.0,0.07553538227428988,0.0,0.0,0.0,0.2855573095512516
"Cluster 2754Rv1526c, Rv1526c, Uncharacterized protein Rv1526c/MT1577_1",-0.24087807983526954,0.17079807206132444,0.0,0.12128833028875204,0.0,-0.06390238881988365,-0.07761931454596134,-0.0964675797773129,0.0,0.0,0.05161630377846697,0.0,0.052041854948714474,-0.22046727779869088,-0.0525753593576005,0.0,1.0,0.0,0.0,0.0,-0.10041833830424411,0.0,-0.0761097937631512,0.0,-0.09832246577178974,0.0,0.0,-0.07563988455357103,-0.05403139094192362,-0.14105625561092286,-0.11796147632881267,0.11328665916323165,0.0,-0.05172916911596043,0.0,0.10767414547525023,0.0,0.14564240771659528,0.0,0.0
"Cluster 2804Rv0867c, rpfA, Resuscitation-promoting factor RpfA_1",-0.13020107438929412,0.11120380676566298,0.11027150988687713,0.0,-0.1192178911173342,-0.06042992970766094,0.0,0.05993501468677035,0.0,0.0,0.0,0.0,0.06200840423265487,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.11667318609653123,0.0,0.0,0.0,-0.07448606306907118,0.0,0.05851574376003954,0.0,-0.15181754965589822,-0.10424218608214152,0.0,0.11083769749613538,0.0,0.0,-0.06298563392811442,0.0,0.0,-0.08027212338725238,0.0
"Cluster 3865Rv1244, lpqZ, Glycine betaine/L-proline transport substrate-binding protein ProX (TC 3.A.1.12.1)_3",-0.17950838682496095,0.08386901917733093,0.07247896700749547,-0.057763589214825176,-0.24047771350571753,-0.24918629660056246,-0.15520937935231496,-0.11417240310023143,-0.051624902799081225,0.8879222206711532,0.0,0.13021687114276032,0.07115326889867556,-0.09074200623946052,0.08354492511590429,0.0,0.0,0.0,1.0,0.11745027719585545,0.0,0.10356399367259664,0.0,0.11696704106754868,0.0,-0.09402207488474501,0.05635389678997125,0.0,0.0,-0.16412955689046102,0.0,0.0,-0.07210935782759864,-0.06251882476478585,0.0,0.14786512857030076,0.14201127829841498,-0.05297995482864259,0.0,0.0
"Cluster 3881Rv3312c, Rv3312c, Hydrolase, alpha/beta hydrolase fold family_2",-0.18462535877993744,0.1187228834158034,0.1068738008294537,0.07959686541411362,-0.14317581714246996,0.0,0.0,0.0,0.0,0.07000967279041276,0.0,0.0,0.059269753261674364,0.0,0.0,0.0,0.0,0.0,0.11745027719585545,1.0,0.0,0.07346522461585094,0.057556660187858016,0.0,0.062392399117951636,-0.05102070193415146,0.11260541206939365,0.0,0.0,0.0,0.0,0.0,0.06237006801696761,0.0,0.0,0.0,0.0,0.0,-0.07570578016297444,0.0
"Cluster 1396Rv0669c, Rv0669c, Alkaline ceramidase_2",0.09315925300972688,-0.09167290960129829,0.0,-0.10458962874686872,0.0,0.0,0.10148815601839548,0.0,0.0,-0.06176504104389591,0.0,0.0,0.05385710027376663,0.07254193188905152,0.0,0.05292620391653095,-0.10041833830424411,0.0,0.0,0.0,1.0,0.0,0.0,-0.0748103049275399,0.0,0.0,0.0,0.0,0.0,0.052563297826390555,0.08316301032425807,-0.20757656292128035,0.06013005396818987,0.0,-0.13465010580068434,0.0675161536047442,0.055988421568120714,-0.05331316230923183,0.0,0.0
"Cluster 619Rv1664, pks9, Polyketide synthase_3",-0.16819945333833347,0.1806721748117823,0.22562366161510833,0.0,0.0,0.0,-0.09996848746686801,-0.08183279085137526,0.0,0.05672052070227568,0.0,0.06978085208169434,0.0,0.0,0.0,0.0,0.0,0.11667318609653123,0.10356399367259664,0.07346522461585094,0.0,1.0,0.0,0.0,-0.06905577809403358,0.0,0.07243200409878676,0.0,0.0,0.0,0.0,0.0,0.0,0.056165604306070614,0.0,0.2745263234185136,0.07457664890097791,0.0,0.0,0.0649426150469006
"Cluster 5862Rv3055, Rv3055, Transcriptional regulator, AcrR family_2",-0.12093278698029931,0.05691372688299319,0.0,0.0,0.0,0.0,-0.0863407557168439,0.07209142862119215,0.10939803624868466,0.0,0.0738514418983161,0.0,0.06318421296384363,-0.07838553694832529,0.0,0.06352210190815735,-0.0761097937631512,0.0,0.0,0.057556660187858016,0.0,0.0,1.0,-0.05664083053291554,0.0,-0.07746694481068263,0.0,0.0,0.1019949901023409,0.05284082850541715,0.0,-0.05432044408652277,0.0,0.0,-0.08006422046442149,0.0,-0.05512772337102119,0.0,-0.09606580595777721,-0.057845501292122264
"Cluster 3598Rv3124, moaR1, transcriptional regulator, AfsR/DnrI/RedD family_1",-0.26443073237810977,0.20147498440859404,0.05626679851936913,0.0,-0.15915886670543622,0.0,-0.22195826447009806,-0.11937896350860601,0.11125258668325301,0.15980433414005055,0.13892234586392604,0.09863112642281213,0.08750701903093551,0.0,0.11168900130773063,0.2170687104368738,0.0,0.0,0.11696704106754868,0.0,-0.0748103049275399,0.0,-0.05664083053291554,1.0,0.2747420197070515,0.0,0.0,0.0,-0.061816116084566726,-0.11076305863482873,-0.09528693183955318,0.0,0.0,0.0,0.0,0.0,0.05061318759390686,0.0,0.0,0.05214387219835461
"Cluster 3178Rv2777c, Rv2777c, FF domain protein_7",-0.19588652898704476,0.0,0.05050389009814361,0.06275223014036216,0.0,0.0,-0.1546476893051622,-0.1144618119161213,-0.07790506687365346,0.0,-0.07414719198439705,0.2641968788931052,0.1878311979885389,0.0,0.08488673055002634,0.7306043487949938,-0.09832246577178974,0.0,0.0,0.062392399117951636,0.0,-0.06905577809403358,0.0,0.2747420197070515,1.0,0.1346675059308439,0.0,0.0,0.11734200667589255,0.05745592994869079,-0.12813886612657685,0.06907637414615332,0.0,0.0,0.0,-0.11601103089377149,0.0,-0.09335286565423537,0.0,0.30546666330020456
"Cluster 462Rv3447c, eccC4, FtsK/SpoIIIE family protein EccC4, component of Type VII secretion system ESX-4_7",0.22637333395438994,-0.21058943538524,-0.15323498188330253,-0.0643044321278517,0.0,-0.14774984503042293,0.0,0.10575695917019849,0.0,0.0,0.0,0.0,-0.09123164758675527,0.07186376979034233,0.0,0.0,0.0,-0.07448606306907118,-0.09402207488474501,-0.05102070193415146,0.0,0.0,-0.07746694481068263,0.0,0.1346675059308439,1.0,0.0,-0.05185187181109595,0.0,0.12372134436999865,0.0,0.05495561270048048,-0.2469309961892462,0.0,-0.09293639739707724,-0.3975146121631905,-0.055896583928481416,-0.23559239176424154,0.0,0.0
"Cluster 577Rv1683, Rv1683, Polyhydroxyalkanoic acid synthase_3",-0.0695096942564645,0.0,0.08075407818057831,0.0,0.06324949706447909,-0.1329740792308269,0.0,-0.07455541913118152,0.08013091285151037,0.0,0.08253863416777676,0.07342627877770713,0.0,0.06335419872841853,0.0,0.05593479530827939,0.0,0.0,0.05635389678997125,0.11260541206939365,0.0,0.07243200409878676,0.0,0.0,0.0,0.0,1.0,-0.15268231048659475,0.06094984999767915,0.0941193159120224,0.0,0.0,0.0,0.0,-0.12890526357979343,0.15035141539141417,0.0,0.05096360741306472,0.05827295598921796,0.0
"Cluster 3137Rv2786c, ribF, FMN adenylyltransferase (EC 2.7.7.2) / Riboflavin kinase (EC 2.7.1.26)_3",0.058900408172264884,0.0,0.0,0.0,0.0,0.09986436163196036,0.057960740321739396,0.17672895313075826,0.0,0.0,0.0,-0.09297032763134523,0.0,0.0,0.07081890817894938,0.0,-0.07563988455357103,0.05851574376003954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05185187181109595,-0.15268231048659475,1.0,0.0,-0.06504080584963702,0.0,0.0,0.0,0.0,0.5995072208870648,-0.089057347262011,0.0,0.0,-0.06711091135776101,0.0
"Cluster 4737Rv1964, yrbE3A, Conserved hypothetical integral membrane protein YrbEa_3",-0.2661038238715809,0.13112212968641207,0.18507417331536083,0.14376432935421724,0.0,-0.06906505934668694,0.0,-0.2903177852643516,0.0,0.0,-0.09314775671842099,0.16938644291039875,0.11747098950079708,0.0,0.0,0.12089951919096185,-0.05403139094192362,0.0,0.0,0.0,0.0,0.0,0.1019949901023409,-0.061816116084566726,0.11734200667589255,0.0,0.06094984999767915,0.0,1.0,0.0,0.0,0.0,0.13254269015314454,0.31460304186470905,0.0,0.0,0.0,0.0,-0.05942410830649202,0.08355649794394278
"Cluster 3074Rv1737c, narK2, Nitrate/nitrite transporter NarK_1",0.2083565957221631,-0.2775273192214203,-0.14771856694890048,0.0,0.07521849432309678,0.0,0.17006058629670814,0.0,0.0,-0.2077231397487764,0.0,0.0,-0.09528131696720364,0.0,0.0,0.0,-0.14105625561092286,-0.15181754965589822,-0.16412955689046102,0.0,0.052563297826390555,0.0,0.05284082850541715,-0.11076305863482873,0.05745592994869079,0.12372134436999865,0.0941193159120224,-0.06504080584963702,0.0,1.0,-0.09076352756941387,0.0,-0.06484732711610547,0.0,0.0,0.0597361500518276,0.0,0.0,0.0,0.0
"Cluster 2401Rv0473, Rv0473, putative membrane protein_3",0.13975075797381922,0.0,0.0,-0.20314196222394476,0.0975489739192876,0.0,-0.12104421005494953,0.0,0.0,0.0,0.0,-0.10064819849075379,0.0,0.1373235935473179,-0.05345341520249245,-0.10592739151882415,-0.11796147632881267,-0.10424218608214152,0.0,0.0,0.08316301032425807,0.0,0.0,-0.09528693183955318,-0.12813886612657685,0.0,0.0,0.0,0.0,-0.09076352756941387,1.0,-0.3279903855941489,0.0,0.0,0.0,0.0,0.0,0.0,-0.10088943396334382,0.0
"Cluster 573Rv3239c, Rv3239c, EmrB/QacA family drug resistance transporter_1",-0.21172443820701017,0.21569876217951886,0.0,0.09808410481289952,-0.06880246901870889,0.0736058534995139,0.0,-0.10420237642312392,0.060024428102949855,0.0,0.0,0.15795088116505684,0.0,-0.22427038152221238,0.05256817202167959,0.12753868070380706,0.11328665916323165,0.0,0.0,0.0,-0.20757656292128035,0.0,-0.05432044408652277,0.0,0.06907637414615332,0.05495561270048048,0.0,0.0,0.0,0.0,-0.3279903855941489,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
