,"Cluster 893Rv0006, gyrA, DNA gyrase subunit A (EC 5.99.1.3)_13","Cluster 893Rv0006, gyrA, DNA gyrase subunit A (EC 5.99.1.3)_8","Cluster 893Rv0006, gyrA, DNA gyrase subunit A (EC 5.99.1.3)_5","Cluster 893Rv0006, gyrA, DNA gyrase subunit A (EC 5.99.1.3)_12","Cluster 893Rv0006, gyrA, DNA gyrase subunit A (EC 5.99.1.3)_9","Cluster 893Rv0006, gyrA, DNA gyrase subunit A (EC 5.99.1.3)_3","Cluster 2980Rv2780, ald, Alanine dehydrogenase (EC 1.4.1.1)_4","Cluster 5346Rv1115, Rv1115, putative exported protein_2","Cluster 5003Rv0071, Rv0071, Retron-type RNA-directed DNA polymerase (EC 2.7.7.49)_3","Cluster 4931Rv1270c, lprA, Lipoprotein LprA_2","Cluster 5962Rv0706, rplV, LSU ribosomal protein L22p (L17e)_1","Cluster 2227Rv0758, phoR, Two-component system response phosphate sensor kinase, PhoR_2","Cluster 4476Rv0633c, Rv0633c, putative membrane protein_5","Cluster 2212Rv0346c, ansP2, L-asparagine permease_2","Cluster 1736Rv3280, accD5, Methylcrotonyl-CoA carboxylase carboxyl transferase subunit (EC 6.4.1.4)_2","Cluster 1163Rv0782, ptrBb, Protease II (EC 3.4.21.83)_3","Cluster 6770Rv1081c, Rv1081c, putative membrane protein_1","Cluster 4252Rv0428c, Rv0428c, Histone acetyltransferase HPA2 and related acetyltransferases_5","Cluster 4953Rv1863c, Rv1863c, putative membrane protein_2","Cluster 6993Rv0880, Rv0880, Transcriptional regulator, MarR family_2","Cluster 5346Rv1115, Rv1115, putative exported protein_4","Cluster 152Rv2931, ppsA, Phenolpthiocerol synthesis type-I polyketide synthase PpsA (EC 2.3.1.41)_4","Cluster 3925Rv1647, Rv1647, Purine cyclase-related protein_1","Cluster 1645Rv1620c, cydC, Transport ATP-binding protein CydC_2","Cluster 1927Rv0773c, ggtA, Gamma-glutamyltranspeptidase (EC 2.3.2.2) @ Glutathione hydrolase (EC 3.4.19.13)_6","Cluster 1368Rv0939, Rv0939, Fumarylacetoacetase (EC 3.7.1.2) / Metallo-beta-lactamase superfamily_2","Cluster 3234Rv2164c, Rv2164c, Cell division protein FtsL / proline rich membrane protein_2","Cluster 4660Rv0687, Rv0687, 3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)_3","Cluster 2212Rv0346c, ansP2, L-asparagine permease_1","Cluster 5100Rv3908, mutT4, Diadenosine hexaphosphate (Ap6A) hydrolase; Bis(5'-nucleosyl)-tetraphosphatase (Ap4A) (Asymmetrical) (EC 3.6.1.17)_2","Cluster 5962Rv0706, rplV, LSU ribosomal protein L22p (L17e)_2","Cluster 6749Rv2779c, Rv2779c, Transcriptional regulator, AsnC family_1","Cluster 9061Rv0763c, Rv0763c, Ferredoxin_1","Cluster 3680Rv3917c, parB, Chromosome (plasmid) partitioning protein ParB / Stage 0 sporulation protein J_2","Cluster 3438Rv1451, ctaB, Heme O synthase, protoheme IX farnesyltransferase (EC 2.5.1.-) COX10-CtaB_1","Cluster 1911Rv2577, Rv2577, Purple acid phosphatase_1","Cluster 4476Rv0633c, Rv0633c, putative membrane protein_2","Cluster 3438Rv1451, ctaB, Heme O synthase, protoheme IX farnesyltransferase (EC 2.5.1.-) COX10-CtaB_2","Cluster 1645Rv1620c, cydC, Transport ATP-binding protein CydC_3","Cluster 2478Rv3262, fbiB, Coenzyme F420-0:L-glutamate ligase (EC 6.3.2.31) @ F420-1:L-glutamate ligase (EC 6.3.2.34) / Nitroreductase family protein Rcas_3978_1"
"Cluster 5962Rv0706, rplV, LSU ribosomal protein L22p (L17e)_1",-0.1850519308496101,0.10075024153466194,0.1515917159746823,-0.17685657792620318,0.0,0.0,0.05421737163246796,-0.08817084627328825,-0.13588165590789386,0.1350616159229764,1.0,0.0,-0.08606052893980817,0.10278635423736728,-0.07189303120665856,0.0,-0.09019016317977614,0.09857499277662517,0.06587464537252091,-0.0640827401501053,0.0,0.0,-0.09215049217792758,0.0,0.0,-0.1485736027145267,0.15618258445320152,0.061634111109613914,0.0,0.0,0.17791882901529874,0.0,0.07574956635273164,0.0,-0.08336690843630412,-0.07628182660360551,0.0,0.0,0.0,-0.16751839270930757
"Cluster 2227Rv0758, phoR, Two-component system response phosphate sensor kinase, PhoR_2",-0.17735231086715914,0.19182754248929465,0.3028462125667943,-0.19673827520017628,-0.22998664120464862,0.0,0.1809790212288264,-0.15845910660261522,-0.06850634581614097,0.0,0.0,1.0,0.0,-0.1512717218531176,-0.10906937500195756,0.0,-0.07575294664233224,0.17275869929564147,0.1317352852040116,0.10925646369593082,-0.07179864830127314,-0.08950373486332118,-0.18547794008303875,-0.05975553743398734,0.08320399020942093,0.0,0.2283690478047697,-0.1337239565169768,-0.1536856889860264,-0.08126027523158655,0.0,-0.07030299352902174,0.0,-0.12253050359924968,-0.16496171570826468,-0.13474923011196696,0.08723679652756679,0.0,-0.18465231556900513,0.05894813672280212
"Cluster 4476Rv0633c, Rv0633c, putative membrane protein_5",0.07505764063802485,-0.27870907502386233,-0.192895044193004,0.0,0.21143824630203384,0.11547208019225748,-0.13205448828070207,0.0,-0.13290499161057134,-0.05090629993182394,-0.08606052893980817,0.0,1.0,0.11359432003682028,0.0,0.0,0.0,0.11094536248035787,-0.0967272506574427,0.0,0.0,0.0,0.08637466025362986,0.0,0.0,0.0,0.08585743266941402,0.0,0.0,0.09368351204406115,0.0,0.10240212647302584,0.1262685349059574,0.0,0.0,0.0,0.0,-0.19155759264749272,-0.13211674495912484,-0.08458481712514013
"Cluster 2212Rv0346c, ansP2, L-asparagine permease_2",0.11433642297527571,-0.1510620466276259,-0.22545821909561067,0.08948350031554349,0.09885562862498322,0.0,-0.11198971032028811,0.0,-0.0598320249420997,-0.07713779503879925,0.10278635423736728,-0.1512717218531176,0.11359432003682028,1.0,0.0771499348827372,-0.0971082438655846,0.060923965377807775,0.0,0.0,-0.07885994411167614,-0.06808455821246132,0.0,0.0,0.0,0.0,0.0,-0.061031448713537016,0.0,0.5893138460166404,0.10421526321028435,0.05316784868631354,0.11492574172765137,0.0,-0.05768628435929906,0.0,0.0,-0.19319139502338994,-0.06988426486597192,0.0,-0.12384426195433164
"Cluster 1736Rv3280, accD5, Methylcrotonyl-CoA carboxylase carboxyl transferase subunit (EC 6.4.1.4)_2",0.1641501694000392,-0.3649324981273176,-0.36739433907217367,0.0,0.19209657810646694,0.10411122770708287,-0.18831550001194847,0.104826365984124,0.0,-0.21174096853222313,-0.07189303120665856,-0.10906937500195756,0.0,0.0771499348827372,1.0,-0.18996312772744858,0.0,-0.08484273270216669,-0.13963390315322077,-0.05345208451206924,-0.07505968111655818,0.0,0.09780380530683874,-0.09491428155253898,-0.19156014578187663,0.0,-0.07031124031016599,0.14682301632225278,0.0,0.07870893321485795,0.13161303864207305,0.0,-0.06457509502086935,0.0,0.10519080172544057,-0.07128457668504111,0.0,-0.06424786812136783,0.06113581823916362,0.0
"Cluster 1163Rv0782, ptrBb, Protease II (EC 3.4.21.83)_3",-0.08782357796603232,0.17023025412152937,0.1439258308942643,0.0,-0.06487104917265513,-0.1238987895864403,0.14464914304012508,-0.051562896166573634,-0.12671913560622663,0.0,0.0,0.0,0.0,-0.0971082438655846,-0.18996312772744858,1.0,-0.09080110982706732,0.0,0.0,0.0,0.06411350186293752,0.0,0.0,-0.06900676876408325,0.0,0.0,0.0,0.0,0.0,0.0,-0.06201153060206879,0.0,0.07796502622989547,0.0,0.0,0.0,0.0,0.0,0.05750034420228274,0.0
"Cluster 6770Rv1081c, Rv1081c, putative membrane protein_1",0.162236390883923,0.0,-0.17973859074177193,0.17431488606290987,0.09972259796613832,0.08953628681022129,-0.06539400903299628,0.0,-0.0578514155138213,-0.07833297141395258,-0.09019016317977614,-0.07575294664233224,0.0,0.060923965377807775,0.0,-0.09080110982706732,1.0,-0.14752784231745025,0.0,0.0,-0.053794705075214076,0.0,0.0,0.0,-0.06874145628615999,-0.11316926875333047,0.0,0.0,0.0,0.0,0.16864441048503673,-0.05241847783587259,0.0,0.0,0.10237577445250037,0.0,0.0,-0.10718527010813876,-0.07340881037903015,-0.05568872931610282
"Cluster 4252Rv0428c, Rv0428c, Histone acetyltransferase HPA2 and related acetyltransferases_5",-0.1232147701797121,0.06623055812608952,0.19160107331870566,-0.06537203016633229,0.0,0.0,0.12439723257066967,-0.17037165686593223,-0.19757294340176557,0.1928112735797667,0.09857499277662517,0.17275869929564147,0.11094536248035787,0.0,-0.08484273270216669,0.0,-0.14752784231745025,1.0,0.12827936170792023,0.0,0.0,0.11760552330587719,-0.052305946845548124,0.05742896780759731,-0.13656428843337354,0.0,0.0,-0.16416768095400527,0.0,-0.1504947425074444,-0.14552484008769237,0.0,0.0,0.0,-0.1681489971410175,-0.067128745926678,0.0,0.0,-0.08189726824443226,0.0
"Cluster 4953Rv1863c, Rv1863c, putative membrane protein_2",-0.12778211370089287,0.2632591098409459,0.2485303009492452,0.0,-0.13747662757200982,0.0,0.2200145299698476,-0.13745049045287386,-0.12198478907265342,0.0,0.06587464537252091,0.1317352852040116,-0.0967272506574427,0.0,-0.13963390315322077,0.0,0.0,0.12827936170792023,1.0,0.06958286509570911,0.07615764551982983,0.07758442892430835,-0.2001037616710082,0.13712147957980206,0.0,0.0,0.11023985403051352,0.0,0.0,-0.16788942043753474,-0.1630554997260797,0.0,-0.1794543869497251,0.05024958384102319,-0.14923578294983408,0.0,0.05827643968286556,0.0,-0.05606904252793102,-0.05142226615838657
"Cluster 6993Rv0880, Rv0880, Transcriptional regulator, MarR family_2",-0.09640642247915694,0.11321325973700626,0.17379054836602417,0.0,0.0,-0.06661223764841065,0.13538279897768532,-0.11961959692719396,0.0,0.060238314077846425,-0.0640827401501053,0.10925646369593082,0.0,-0.07885994411167614,-0.05345208451206924,0.0,0.0,0.0,0.06958286509570911,1.0,0.0,-0.12967497923655724,-0.06621465132270837,0.050531297034906573,0.11695986570956753,-0.0757832596410791,0.0,0.0,0.0,-0.09986413589630462,0.0,-0.055165579081882285,0.0,0.0,0.0,-0.122027755313545,0.11704475323470664,-0.08613811542668202,-0.14408424949033197,0.0
"Cluster 5346Rv1115, Rv1115, putative exported protein_4",-0.13804491623157628,0.1340815592337757,0.2495410132718828,-0.07014384968999443,-0.18711666183750314,0.0,0.13824910895676312,0.3619675665205013,0.0,0.0,0.0,-0.07179864830127314,0.0,-0.06808455821246132,-0.07505968111655818,0.06411350186293752,-0.053794705075214076,0.0,0.07615764551982983,0.0,1.0,0.0,0.0,0.0,0.12302283876558552,0.0,0.0,-0.09048583759648988,0.0,0.0,0.0,0.0,-0.11338269652169021,-0.09356451145132275,-0.062176542545025526,0.0,0.0,0.0,0.0,-0.08543289923631299
"Cluster 152Rv2931, ppsA, Phenolpthiocerol synthesis type-I polyketide synthase PpsA (EC 2.3.1.41)_4",0.1115630153123514,-0.061512318217143515,-0.23779069357096377,-0.11614878108132334,0.0,-0.060832854723161196,-0.1525754519510935,0.0,0.07247025592392747,-0.0821105333395004,0.0,-0.08950373486332118,0.0,0.0,0.0,0.0,0.0,0.11760552330587719,0.07758442892430835,-0.12967497923655724,0.0,1.0,0.0,-0.09006969523020796,0.057424380068878754,0.07757697216098253,0.0,0.05294161311867883,-0.0665824804260984,0.17557774674433435,-0.08027621219243003,0.0,0.0,-0.05194531094561988,0.0,-0.07282170871031443,0.0,0.0,0.0,0.0
"Cluster 3925Rv1647, Rv1647, Purine cyclase-related protein_1",0.15666623305669908,-0.30122459239491584,-0.2458015049715677,0.1611221280750807,0.06009134317155735,0.07180589136507792,-0.19828873661833177,0.07692837368377355,0.0,-0.20463194926881959,-0.09215049217792758,-0.18547794008303875,0.08637466025362986,0.0,0.09780380530683874,0.0,0.0,-0.052305946845548124,-0.2001037616710082,-0.06621465132270837,0.0,0.0,1.0,-0.09011585762299616,-0.060530042858770006,0.0,-0.06428769752374598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2245562226091323,0.12177975919496126,0.0,0.0,0.09946678749569333,-0.11681242439243661
"Cluster 1645Rv1620c, cydC, Transport ATP-binding protein CydC_2",-0.18474904931151293,0.14822923461386692,0.2430680030654253,0.0,-0.0954241164351736,-0.09667723965549774,0.24351811502009627,-0.12320318758562182,-0.13146846316476274,0.05647769330087588,0.0,-0.05975553743398734,0.0,0.0,-0.09491428155253898,-0.06900676876408325,0.0,0.05742896780759731,0.13712147957980206,0.050531297034906573,0.0,-0.09006969523020796,-0.09011585762299616,1.0,0.0,-0.2503752030650694,0.1647486787662268,-0.11107714389024055,0.0,-0.13907048608572703,-0.0969258868379623,0.0,0.0,-0.06335804640300477,0.0,0.0,0.0,0.0,0.19511204582217728,0.0
"Cluster 1927Rv0773c, ggtA, Gamma-glutamyltranspeptidase (EC 2.3.2.2) @ Glutathione hydrolase (EC 3.4.19.13)_6",-0.0560375347649929,0.33486369846863107,0.294495144916173,-0.053086163497781946,-0.17538272374332187,0.0,0.26896468008912966,0.0,-0.10085672149665531,0.09344675882916424,0.0,0.08320399020942093,0.0,0.0,-0.19156014578187663,0.0,-0.06874145628615999,-0.13656428843337354,0.0,0.11695986570956753,0.12302283876558552,0.057424380068878754,-0.060530042858770006,0.0,1.0,0.0,0.0,-0.13623288502449415,0.0,-0.21538691731942183,-0.1435413028544074,-0.1445278920126494,0.0,-0.19095693791869287,-0.09995852198461727,0.0,0.0,0.0,0.06131489196277805,0.0
"Cluster 1368Rv0939, Rv0939, Fumarylacetoacetase (EC 3.7.1.2) / Metallo-beta-lactamase superfamily_2",0.1846779706448212,-0.09496012196376025,-0.10484175572442798,0.08679467012109206,0.09766032047396983,0.07766760297871352,-0.13662456001335185,0.0,0.0671965576657096,-0.068204692859425,-0.1485736027145267,0.0,0.0,0.0,0.0,0.0,-0.11316926875333047,0.0,0.0,-0.0757832596410791,0.0,0.07757697216098253,0.0,-0.2503752030650694,0.0,1.0,-0.0887464769000765,-0.0769405864375885,0.0,0.0,0.0,-0.05409807234202245,-0.08670343263989883,0.0,-0.11564437514107005,0.06292862872712181,-0.05665302511525481,0.0,-0.09541190824211111,0.0
"Cluster 3234Rv2164c, Rv2164c, Cell division protein FtsL / proline rich membrane protein_2",-0.1317863377936646,0.0,0.11024616128538704,-0.11893049107074935,0.0,-0.052433976402394104,0.20016993667013877,0.0,0.0,0.0,0.15618258445320152,0.2283690478047697,0.08585743266941402,-0.061031448713537016,-0.07031124031016599,0.0,0.0,0.0,0.11023985403051352,0.0,0.0,0.0,-0.06428769752374598,0.1647486787662268,0.0,-0.0887464769000765,1.0,0.0,-0.07280685953409241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06934837088844283,0.0,0.0,0.0
"Cluster 4660Rv0687, Rv0687, 3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)_3",0.09846269972964923,-0.12562036226001444,-0.22559069847433352,0.0,0.09452768979212517,0.0,-0.11565217368099742,0.0,0.0,0.0,0.061634111109613914,-0.1337239565169768,0.0,0.0,0.14682301632225278,0.0,0.0,-0.16416768095400527,0.0,0.0,-0.09048583759648988,0.05294161311867883,0.0,-0.11107714389024055,-0.13623288502449415,-0.0769405864375885,0.0,1.0,0.0,0.0,-0.07566187872839998,-0.05435699704633866,0.0,0.10481338060399673,0.08109563218658869,0.0,0.0,-0.0647679388503278,0.0,-0.05572927959460565
"Cluster 2212Rv0346c, ansP2, L-asparagine permease_1",0.0,-0.05229522869249752,-0.05151060871457259,0.11045273331095935,0.0,-0.055196662927565913,0.0,0.0,0.0,0.0,0.0,-0.1536856889860264,0.0,0.5893138460166404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0665824804260984,0.0,0.0,0.0,0.0,-0.07280685953409241,0.0,1.0,0.0,0.0,0.0587091296383537,0.0,0.0,0.0,0.0,-0.11167457282334199,0.0,0.0,0.0
"Cluster 5100Rv3908, mutT4, Diadenosine hexaphosphate (Ap6A) hydrolase; Bis(5'-nucleosyl)-tetraphosphatase (Ap4A) (Asymmetrical) (EC 3.6.1.17)_2",0.11980257393856165,-0.19156342616111044,-0.2111477006879394,0.051388846113869305,0.18776341354221954,0.06727331319277713,-0.3422765094892845,0.190048286068041,0.1358748437843071,-0.15154655798866432,0.0,-0.08126027523158655,0.09368351204406115,0.10421526321028435,0.07870893321485795,0.0,0.0,-0.1504947425074444,-0.16788942043753474,-0.09986413589630462,0.0,0.17557774674433435,0.0,-0.13907048608572703,-0.21538691731942183,0.0,0.0,0.0,0.0,1.0,0.0,0.07985287884931333,0.0,0.0,0.0,0.0,-0.08970508622929596,-0.08160479875299793,0.0,0.0
