,"Cluster 3930Rv2043c, pncA, Nicotinamidase (EC 3.5.1.19)_10","Cluster 3289Rv2560, Rv2560, PROBABLE PROLINE AND GLYCINE RICH TRANSMEMBRANE PROTEIN_1","Cluster 4054Rv3843c, Rv3843c, putative membrane protein_4","Cluster 3713Rv2715, Rv2715, Hydrolase, alpha/beta fold family_1","Cluster 521Rv1358, Rv1358, Cyclase homology domain / Predicted ATPase / Transcriptional regulator, LuxR family_5","Cluster 5659Rv0475, hbhA, Iron-regulated heparin binding hemagglutinin HbhA (Adhesin)_2","Cluster 6096Rv1031, kdpC, Potassium-transporting ATPase C chain (EC 3.6.3.12) (TC 3.A.3.7.1)_1","Cluster 3151Rv1229c, mrp, Mrp protein homolog_2","Cluster 7596Rv3760, Rv3760, putative membrane protein_1","Cluster 4477Rv1008, tatD, Putative deoxyribonuclease YcfH_2","Cluster 1784Rv0861c, ercc3, DNA repair helicase_4","Cluster 3188Rv3822, Rv3822, FIG01386146: Possible exported protein, Rv1184c_6","Cluster 4606Rv0625c, Rv0625c, putative membrane protein_3","Cluster 3074Rv1737c, narK2, Nitrate/nitrite transporter NarK_2","Cluster 4905Rv0091, mtn, 5'-methylthioadenosine nucleosidase (EC 3.2.2.16) @ S-adenosylhomocysteine nucleosidase (EC 3.2.2.9)_2","Cluster 3682Rv3419c, gcp, N(6)-L-threonylcarbamoyladenine synthase (EC 2.3.1.234)_1","Cluster 2336Rv1617, pykA, Pyruvate kinase (EC 2.7.1.40)_3","Cluster 921Rv3664c, dppC, Dipeptide transport ATP-binding protein DppD (TC 3.A.1.5.2)_1","Cluster 3348Rv2454c, Rv2454c, 2-oxoglutarate oxidoreductase, beta subunit (EC 1.2.7.3)_4","Cluster 1209Rv0005, gyrB, DNA gyrase subunit B (EC 5.99.1.3)_4","Cluster 7596Rv3760, Rv3760, putative membrane protein_2","Cluster 4389Rv0427c, xthA, Exodeoxyribonuclease III (EC 3.1.11.2)_2","Cluster 4459Rv0470c, pcaA, Cyclopropane-fatty-acyl-phospholipid synthase 1, CmaA1 (EC 2.1.1.79)_1","Cluster 5910Rv1911c, lppC, Phosphatidylethanolamine-binding protein_5","Cluster 3935Rv3171c, hpx, Non-heme haloperoxidase Hpx_4","Cluster 1435Rv2930, fadD26, Long-chain fatty-acid-AMP ligase, Mycobacterial subgroup FadD26_3","Cluster 3348Rv2454c, Rv2454c, 2-oxoglutarate oxidoreductase, beta subunit (EC 1.2.7.3)_2","Cluster 2642Rv3899c, Rv3899c, Vegetative cell wall protein gp1 precursor_5","Cluster 2019Rv3484, cpsA, Cell envelope-associated transcriptional attenuator LytR-CpsA-Psr, subfamily A1 (as in PMID19099556)_5","Cluster 3010Rv2338c, moeW, Molybdopterin biosynthesis protein MoeW_2","Cluster 1645Rv1620c, cydC, Transport ATP-binding protein CydC_3","Cluster 5659Rv0475, hbhA, Iron-regulated heparin binding hemagglutinin HbhA (Adhesin)_3","Cluster 4401Rv1282c, oppC, Oligopeptide transport system permease protein OppC (TC 3.A.1.5.1)_2","Cluster 896Rv1969, mce3D, MCE-family protein MceC_2","Cluster 2019Rv3484, cpsA, Cell envelope-associated transcriptional attenuator LytR-CpsA-Psr, subfamily A1 (as in PMID19099556)_1","Cluster 643Rv1293, lysA, Arginyl-tRNA synthetase (EC 6.1.1.19)_2","Cluster 7305Rv3020c, esxS, ESAT-6-like protein EsxG_3","Cluster 4423Rv2937, drrB, ATP-dependent efflux pump essential for phthiocerol dimycocerosates translocation, integral membrane protein DrrB-like_3","Cluster 5651Rv1016c, lpqT, Lipoprotein LpqT_4","Cluster 8291Rv3770A, Rv3770A, PROBABLE REMNANT OF A TRANSPOSASE_2"
"Cluster 5910Rv1911c, lppC, Phosphatidylethanolamine-binding protein_5",0.0,0.0,-0.09652229033686884,-0.05633458510528601,0.0,-0.1529684416469885,-0.056102519060708476,0.11037396875871182,0.0,-0.08771622703319625,0.06169229936171552,0.08390209827203843,0.0,0.0,0.0,0.10102362610700269,0.0,0.0,-0.15125272132334067,-0.053794379253188994,-0.07194791970670994,0.0,0.06015323536920162,1.0,0.0,0.05960171638284077,0.096774401684204,0.0,-0.10060333455374845,0.0,0.0,0.06817039250925788,0.0,-0.06357196354517326,-0.11604156548698309,0.0,0.0,-0.07252193369916114,0.0,0.0
"Cluster 3935Rv3171c, hpx, Non-heme haloperoxidase Hpx_4",-0.22597333612634243,0.0,-0.18295256280239475,0.12441078254362857,0.0,0.11343679035094616,-0.05811398453511503,0.0,0.0,0.0,-0.12015011916735616,-0.051745043896133325,0.06866152311157368,0.0,0.0,0.0,0.0,0.06871986357937719,0.0,0.0,0.125672149085666,0.10753892663681835,0.0,0.0,1.0,-0.05445473616693201,0.0,0.07587779899853331,0.0,0.10831221544990512,0.0,-0.10213083637093422,0.0,0.12948174142932914,-0.06344408986974914,0.0,-0.08258141509064212,0.0,-0.07293636751055316,0.0
"Cluster 1435Rv2930, fadD26, Long-chain fatty-acid-AMP ligase, Mycobacterial subgroup FadD26_3",0.1351297721538809,-0.15098720816292888,0.0,0.0,0.0,0.0,0.05847967590368985,-0.0510649429881954,-0.09840612755934112,0.0,0.0,0.0,0.0,0.0,-0.10050163773032028,0.0,-0.11549184413561672,-0.07926329178018479,0.0,-0.07355975718805036,0.0,-0.0951578793558994,0.0,0.05960171638284077,-0.05445473616693201,1.0,-0.06847805694356111,0.0,-0.06412977454168008,-0.0883280799222076,-0.07070478270690238,0.0,0.0,0.06429164749775103,-0.08509889288343965,0.0,0.0,0.0,-0.1431401450593638,0.08189435182897657
"Cluster 3348Rv2454c, Rv2454c, 2-oxoglutarate oxidoreductase, beta subunit (EC 1.2.7.3)_2",-0.22705978409172228,0.0,-0.12497474789302357,0.0,-0.06376052863430637,0.069454107347588,-0.057889282174382245,0.16981937193841745,0.0,0.0,0.0,-0.08821654187250641,0.1187660276373614,-0.05077601465104886,-0.07220737965835897,0.10123282035050722,0.10587071247743839,0.0,-0.31584306383140437,0.0,0.0,0.0,0.10851287196779666,0.096774401684204,0.0,-0.06847805694356111,1.0,0.0,0.0,0.0,0.09466952439578113,-0.05758291691650319,0.0,0.05609585963118328,0.0,0.05567031449070596,0.0,0.0,0.0,-0.10298338790211364
"Cluster 2642Rv3899c, Rv3899c, Vegetative cell wall protein gp1 precursor_5",0.19677526052575578,0.1708863079300255,0.0,-0.11425266584413302,0.13694014826188816,-0.08170336110008432,0.0,0.0,-0.0917710428553817,-0.1294772931705123,0.0,0.0,0.0,-0.07096825202388832,-0.12629928314288155,-0.10780748247736564,-0.06179566317102727,0.0,0.0,-0.08518808691255106,0.07512841132623096,0.05142321199167535,0.0,0.0,0.07587779899853331,0.0,0.0,1.0,0.05687609005710998,-0.057428047043071716,0.05767925262845975,0.06422307797707237,0.0,0.0,0.0,0.0,-0.060120940864092226,0.0,-0.05911870131605503,0.0
"Cluster 2019Rv3484, cpsA, Cell envelope-associated transcriptional attenuator LytR-CpsA-Psr, subfamily A1 (as in PMID19099556)_5",-0.06902576862750393,0.0,0.08151162080462276,0.05295444967064152,-0.0712976425641789,0.0,-0.13626434149540065,0.1418785185043544,0.0,0.05824713780898162,0.0,0.0,0.0,0.051040947891988174,0.0,0.05518112148871762,0.0,0.1501285624664381,0.0,0.0,0.07343934685880854,0.14333855744530813,0.0,-0.10060333455374845,0.0,-0.06412977454168008,0.0,0.05687609005710998,1.0,0.0,0.0,-0.09004433171225058,0.08423134659068492,0.0,0.0,0.07752655836375265,0.0,0.0,0.0,0.054494362759705615
"Cluster 3010Rv2338c, moeW, Molybdopterin biosynthesis protein MoeW_2",-0.1846955044726659,-0.1618905568855054,-0.24827410743043335,0.09412743015510036,0.0,0.0,0.06444550286299434,0.07224244610362465,-0.08058118277099462,0.0,-0.14396614438228372,-0.0673740531688326,0.0,-0.09154756756674579,0.0,0.0,0.06829077426883982,0.0,0.0,-0.0570932704261657,0.0,0.0,0.0,0.0,0.10831221544990512,-0.0883280799222076,0.0,-0.057428047043071716,0.0,1.0,0.11753611596676136,0.0,-0.0716977561950732,0.0,0.0,-0.055992065422589554,0.0,0.07746797897597493,0.05663173862094645,-0.11846840234756892
"Cluster 1645Rv1620c, cydC, Transport ATP-binding protein CydC_3",-0.10842031056586968,-0.05108097883645724,0.0,-0.061797725684972084,0.0,-0.12844558628428834,0.11295187662148835,0.09650367598211383,0.0,0.11326933385224124,0.0,-0.11328395027048832,-0.14547133559959655,0.0,0.0,0.0,0.05160471481804496,0.0,0.0,0.05268602863846463,0.0,0.0,0.0502079222505702,0.0,0.0,-0.07070478270690238,0.09466952439578113,0.05767925262845975,0.0,0.11753611596676136,1.0,-0.058211298675105425,-0.10005879699093465,0.0,0.05355402636812447,0.0,0.0,0.0,0.0,0.0
"Cluster 5659Rv0475, hbhA, Iron-regulated heparin binding hemagglutinin HbhA (Adhesin)_3",0.09268794901848171,0.0,0.0,-0.057549855443853146,0.0,0.0,0.0,-0.1048678437326095,0.0,-0.09331421762775809,0.0983274630864496,0.061417357353787526,0.0,0.0,0.0,-0.07900909286641669,-0.05101964388018894,0.0,0.0,-0.07958840233519338,-0.08460107030353393,0.0,0.0,0.06817039250925788,-0.10213083637093422,0.0,-0.05758291691650319,0.06422307797707237,-0.09004433171225058,0.0,-0.058211298675105425,1.0,0.0,0.0,0.053708124124788384,0.0,0.0,0.0,0.0,0.07220187509685114
"Cluster 4401Rv1282c, oppC, Oligopeptide transport system permease protein OppC (TC 3.A.1.5.1)_2",-0.13027688232038237,0.0,-0.1420542714501412,0.0,0.0,0.10342934268633824,-0.17093023537220783,0.09953210627210661,0.050628777250577336,0.0,-0.10567113758090688,0.0,0.08068373292987958,0.0,0.0,0.07366131471711504,0.0,0.0,0.0,0.0,0.09142798633050996,0.11693501274573177,0.06764218887191292,0.0,0.0,0.0,0.0,0.0,0.08423134659068492,-0.0716977561950732,-0.10005879699093465,0.0,1.0,0.0,0.0,-0.05204827283881615,0.0,0.0,0.18354213531062513,-0.07689250262784085
"Cluster 896Rv1969, mce3D, MCE-family protein MceC_2",-0.16371565435121674,0.0,0.0,0.0,-0.06152417261699969,0.13275045777044217,0.0,0.0,0.12318920073633868,0.0,0.0,-0.15006317479976541,0.0,0.08344809402559084,0.0,-0.06105899202857731,0.0,0.0,0.0,-0.083053104809408,0.0,0.1185101546248938,0.0,-0.06357196354517326,0.12948174142932914,0.06429164749775103,0.05609585963118328,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.06768027459387622,-0.13097812182864477
"Cluster 2019Rv3484, cpsA, Cell envelope-associated transcriptional attenuator LytR-CpsA-Psr, subfamily A1 (as in PMID19099556)_1",0.10196258248433265,0.0,0.0,-0.14678058680123449,0.0,-0.05956721486812157,0.0,-0.06462380631559389,-0.09315222901665941,0.0,0.0,0.0,0.0,0.06243655710039902,0.0,0.0,0.0,-0.052081442478348686,0.05469310397545013,0.0,0.0,0.0,0.06780304415095366,-0.11604156548698309,-0.06344408986974914,-0.08509889288343965,0.0,0.0,0.0,0.0,0.05355402636812447,0.053708124124788384,0.0,0.0,1.0,0.0,0.0815348639587374,0.0,0.0,-0.051455213983168324
"Cluster 643Rv1293, lysA, Arginyl-tRNA synthetase (EC 6.1.1.19)_2",0.0,0.0,0.0,-0.09458007490540996,0.0,0.0,0.061931178357783806,0.0,0.0,0.05533775193607462,0.0,0.0,0.0,0.0,0.0,0.0,-0.05922266938239323,0.0,-0.06140043699880755,-0.07187988317465151,0.0,-0.0907986582637001,-0.08064076197502575,0.0,0.0,0.0,0.05567031449070596,0.0,0.07752655836375265,-0.055992065422589554,0.0,0.0,-0.05204827283881615,0.0,0.0,1.0,0.0,-0.13938982608157915,0.06733060502961727,0.10729570782793506
"Cluster 7305Rv3020c, esxS, ESAT-6-like protein EsxG_3",0.13592295770745175,0.0,0.14657556422317478,-0.09185132972861068,0.0913848553813166,-0.09840751839384791,0.05811172185980615,0.0,0.0,0.0,0.10787003945209211,0.0,0.0,0.0,0.0,0.0,0.0,-0.12342260518374386,0.162181325686028,0.0,0.08160087993330609,0.0,-0.08440351300243693,0.0,-0.08258141509064212,0.0,0.0,-0.060120940864092226,0.0,0.0,0.0,0.0,0.0,0.0,0.0815348639587374,0.0,1.0,0.0,0.0,0.09256517657804321
"Cluster 4423Rv2937, drrB, ATP-dependent efflux pump essential for phthiocerol dimycocerosates translocation, integral membrane protein DrrB-like_3",-0.05989202715727072,0.0,-0.06187568783141522,-0.05557015618778763,0.0,0.11613143764654953,0.0,-0.08646340606602362,0.0,0.0,-0.07849089639884405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06702123686594312,0.0,-0.07252193369916114,0.0,0.0,0.0,0.0,0.0,0.07746797897597493,0.0,0.0,0.0,0.0,0.0,-0.13938982608157915,0.0,1.0,0.0,-0.08339606669220573
"Cluster 5651Rv1016c, lpqT, Lipoprotein LpqT_4",-0.17252954471651294,0.0,-0.07107241710733679,0.0,-0.1026701569985848,0.0,-0.11406992375388433,-0.06055413450249825,0.05126328992514452,0.0,0.0,0.11125633792112781,0.0,0.05783455696743858,0.132573442980546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05372382529312422,0.0,-0.07293636751055316,-0.1431401450593638,0.0,-0.05911870131605503,0.0,0.05663173862094645,0.0,0.0,0.18354213531062513,-0.06768027459387622,0.0,0.06733060502961727,0.0,0.0,1.0,0.0
"Cluster 8291Rv3770A, Rv3770A, PROBABLE REMNANT OF A TRANSPOSASE_2",0.307470410720106,0.15812851189504973,0.17750760480007877,-0.15211502800053245,0.13981954253122947,0.0,0.08186579601717175,-0.07897764039603578,-0.06307853632089142,0.0,0.0,0.0,0.0,-0.10959994691871872,0.0,-0.14477754636175105,-0.05915420500068803,0.0,0.10316067956160635,0.0,0.0,-0.15038569705278332,0.0,0.0,0.0,0.08189435182897657,-0.10298338790211364,0.0,0.054494362759705615,-0.11846840234756892,0.0,0.07220187509685114,-0.07689250262784085,-0.13097812182864477,-0.051455213983168324,0.10729570782793506,0.09256517657804321,-0.08339606669220573,0.0,1.0
