,"Cluster 491Rv0667, rpoB, DNA-directed RNA polymerase beta subunit (EC 2.7.7.6)_4","Cluster 491Rv0667, rpoB, DNA-directed RNA polymerase beta subunit (EC 2.7.7.6)_3","Cluster 491Rv0667, rpoB, DNA-directed RNA polymerase beta subunit (EC 2.7.7.6)_10","Cluster 1206Rv2721c, Rv2721c, POSSIBLE CONSERVED TRANSMEMBRANE ALANINE AND GLYCINE RICH PROTEIN_2","Cluster 4738Rv1484, inhA, Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9)_1","Cluster 415Rv0668, rpoC, DNA-directed RNA polymerase beta' subunit (EC 2.7.7.6)_6","Cluster 1237Rv1877, Rv1877, EmrB/QacA family drug resistance transporter_5","Cluster 5025Rv1597, Rv1597, Methyltransferase_1","Cluster 1068Rv1633, uvrB, Excinuclease ABC subunit B_2","Cluster 2117Rv2680, Rv2680, Uncharacterized protein Q1 colocalized with Q_8","Cluster 3554Rv1543, Rv1543, Oxidoreductase, short-chain dehydrogenase/reductase family_4","Cluster 3865Rv1244, lpqZ, Glycine betaine/L-proline transport substrate-binding protein ProX (TC 3.A.1.12.1)_1","Cluster 4237Rv3516, echA19, Enoyl-CoA hydratase (EC 4.2.1.17)_2","Cluster 1396Rv0669c, Rv0669c, Alkaline ceramidase_2","Cluster 2754Rv1526c, Rv1526c, Uncharacterized protein Rv1526c/MT1577_1","Cluster 619Rv1664, pks9, Polyketide synthase_3","Cluster 2178Rv0016c, pbpA, Cell division protein FtsI [Peptidoglycan synthetase] (EC 2.4.1.129)_3","Cluster 2804Rv0867c, rpfA, Resuscitation-promoting factor RpfA_1","Cluster 3554Rv1543, Rv1543, Oxidoreductase, short-chain dehydrogenase/reductase family_2","Cluster 3598Rv3124, moaR1, transcriptional regulator, AfsR/DnrI/RedD family_1","Cluster 3178Rv2777c, Rv2777c, FF domain protein_2","Cluster 577Rv1683, Rv1683, Polyhydroxyalkanoic acid synthase_3","Cluster 3881Rv3312c, Rv3312c, Hydrolase, alpha/beta hydrolase fold family_2","Cluster 3865Rv1244, lpqZ, Glycine betaine/L-proline transport substrate-binding protein ProX (TC 3.A.1.12.1)_3","Cluster 2940Rv2265, Rv2265, Uncharacterized protein Rv2265/MT2327_3","Cluster 5862Rv3055, Rv3055, Transcriptional regulator, AcrR family_2","Cluster 3137Rv2786c, ribF, FMN adenylyltransferase (EC 2.7.7.2) / Riboflavin kinase (EC 2.7.1.26)_3","Cluster 3178Rv2777c, Rv2777c, FF domain protein_7","Cluster 5665Rv0956, purN, Phosphoribosylglycinamide formyltransferase (EC 2.1.2.2)_4","Cluster 5263Rv1151c, Rv1151c, NAD-dependent protein deacetylase of SIR2 family_1","Cluster 2940Rv2265, Rv2265, Uncharacterized protein Rv2265/MT2327_1","Cluster 2980Rv2780, ald, Alanine dehydrogenase (EC 1.4.1.1)_4","Cluster 1039Rv1563c, treY, Malto-oligosyltrehalose synthase (EC 5.4.99.15)_1","Cluster 4913Rv1339, Rv1339, Metal-dependent hydrolases of the beta-lactamase superfamily III_2","Cluster 3386Rv3041c, Rv3041c, ABC transporter, ATP-binding protein_2","Cluster 4737Rv1964, yrbE3A, Conserved hypothetical integral membrane protein YrbEa_3","Cluster 4498Rv0838, lpqR, D-alanyl-D-alanine dipeptidase (EC 3.4.13.22)_2","Cluster 441Rv3300c, Rv3300c, Arylsulfatase (EC 3.1.6.1)_6","Cluster 3386Rv3041c, Rv3041c, ABC transporter, ATP-binding protein_4","Cluster 5862Rv3055, Rv3055, Transcriptional regulator, AcrR family_4","Cluster 2401Rv0473, Rv0473, putative membrane protein_3","Cluster 581Rv3887c, eccD2, Serine protease mycosin MycP5, component of Type VII secretion system ESX-5_16","Cluster 2747Rv2181, Rv2181, putative membrane protein_1","Cluster 3137Rv2786c, ribF, FMN adenylyltransferase (EC 2.7.7.2) / Riboflavin kinase (EC 2.7.1.26)_1","Cluster 2697Rv3074, Rv3074, CONSERVED 13E12 REPEAT FAMILY PROTEIN_3","Cluster 7026Rv2704, Rv2704, RidA/YER057c/UK114 superfamily, group 6_2","Cluster 1927Rv0773c, ggtA, Gamma-glutamyltranspeptidase (EC 2.3.2.2) @ Glutathione hydrolase (EC 3.4.19.13)_2","Cluster 3136Rv0389, purT, Phosphoribosylglycinamide formyltransferase 2 (EC 2.1.2.-)_1","Cluster 462Rv3447c, eccC4, FtsK/SpoIIIE family protein EccC4, component of Type VII secretion system ESX-4_7","Cluster 5187Rv3631, Rv3631, Polyprenyl-phospho-N-acetylgalactosaminyl synthase PpgS_2","Cluster 4287Rv2198c, mmpS3, Putative membrane protein MmpS3_3","Cluster 2754Rv1526c, Rv1526c, Uncharacterized protein Rv1526c/MT1577_6","Cluster 7518Rv3017c, esxQ, ESAT-6-like protein EsxH, 10 kDa antigen CFP7_3","Cluster 573Rv3239c, Rv3239c, EmrB/QacA family drug resistance transporter_1","Cluster 4287Rv2198c, mmpS3, Putative membrane protein MmpS3_2","Cluster 3074Rv1737c, narK2, Nitrate/nitrite transporter NarK_1","Cluster 7386Rv1343c, lprD, Lipoprotein LprD_2","Cluster 4778Rv0695, Rv0695, Cyclic amid hydrolase in mycofactocin cluster_1","Cluster 2515Rv0955, Rv0955, FIG021574: Possible membrane protein related to de Novo purine biosynthesis_3","Cluster 2117Rv2680, Rv2680, Uncharacterized protein Q1 colocalized with Q_4"
"Cluster 2754Rv1526c, Rv1526c, Uncharacterized protein Rv1526c/MT1577_1",-0.2796924500840848,0.2301245369845056,0.17177280310223983,0.07615914628822065,0.0,-0.11601822253245479,-0.19755522488794558,-0.10532649891365735,0.0,-0.29167119057178315,-0.061053034056023005,0.0,0.0868769811386806,-0.19173307605461215,1.0,0.0,0.156538745837383,0.0,-0.07605708927464964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09692612461769201,0.0,0.0,0.0,0.0,-0.22454981717582131,0.0,0.0,-0.15308978677635568,0.08769442022912173,-0.3536276218521893,0.0,-0.26235605610224333,-0.08847869849804477,-0.12014798954519774,0.0,0.1459720056935897,0.0,-0.19220936899113777,0.0,0.07248988806244035,0.0,0.0,0.11858477254729792,0.0,0.7296021331862846,0.0,0.1948908225083731,0.0,0.0,0.0,0.0,0.0,0.0
"Cluster 619Rv1664, pks9, Polyketide synthase_3",-0.15325582618992617,0.12241953919188278,0.07743577783650504,0.0,0.07424311791738109,-0.07293853687476368,-0.2017632633755999,-0.05076248088911046,0.12905129070436014,0.0,-0.07283448867563033,0.0,0.0,-0.05673215382086988,0.0,1.0,0.0,0.0,-0.07918336457158237,0.0,0.0,0.0,0.0,0.061253865696434796,-0.05022102049617526,0.0,-0.10351648743624314,0.0,0.0,-0.062448491111970414,0.0,0.0,0.0,-0.14249498006905936,-0.17332952457969444,0.0,0.0,0.0,-0.15213418021524752,0.06791848722581045,0.0,-0.07226665863505362,0.0,-0.07756651851226457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054887642064022996,0.0,0.0,-0.09086306522972552,0.0,0.0,0.0,0.0
"Cluster 2178Rv0016c, pbpA, Cell division protein FtsI [Peptidoglycan synthetase] (EC 2.4.1.129)_3",-0.15121052340373228,0.1450057555376132,0.09720873415001786,-0.060581211189994114,0.0,0.0,-0.09082509882224504,-0.05515175160817249,0.08545744836801011,-0.06193678942275837,0.0,0.1414779304965217,0.0,-0.12968241738105593,0.156538745837383,0.0,1.0,0.0,0.0,0.06692590256145185,0.0,0.0,0.0,0.12295271730439891,0.0,0.0,0.0,0.0,0.0,0.05373551582771847,0.0,-0.1265644398832687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14834625703303733,0.0,-0.1504363851259197,0.0,0.0,0.050695233393832036,0.0,0.0,0.10586196773174336,0.1460956831647207,-0.19061039768754973,0.0,0.08615923565693065,0.0,0.0,0.0,0.10571578147547005,0.0
"Cluster 2804Rv0867c, rpfA, Resuscitation-promoting factor RpfA_1",-0.10069861309156705,0.0,0.06911836772761205,0.053899402746086456,-0.12936923453992633,0.0,0.0,0.0,0.0,-0.1758052889383173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.08246489632898564,0.11868271131597445,0.0,-0.06388788155793429,0.0,0.057890581905796545,0.0,0.056096698279517014,0.0,0.0,0.0,0.06078462246769404,0.0,0.1477971118100906,-0.06431510655764515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.050632851753719295,0.0,0.0,0.0,0.0,0.0,0.10261550596980394,-0.09600363430441375,-0.17292963295336722,0.0,0.0,0.06119078405972168,0.0,0.0,0.0,0.0,0.0,0.16198899169730055,0.0
"Cluster 3554Rv1543, Rv1543, Oxidoreductase, short-chain dehydrogenase/reductase family_2",-0.09313019087964337,0.0,0.0,0.0,0.05141021416219206,-0.18732070061585204,0.0,0.0,0.15762338443554888,-0.07167224864289186,0.9439314030734166,-0.05530448863723509,0.05097676437202271,0.0,-0.07605708927464964,-0.07918336457158237,0.0,0.0,1.0,0.07490247059839815,0.0,0.0,-0.05530223537799488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666655453279871,0.0,0.07232391955664513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10430618845856071,0.0,0.0,0.07584453111694275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13613916564585204,0.0
"Cluster 3598Rv3124, moaR1, transcriptional regulator, AfsR/DnrI/RedD family_1",-0.14384744101635885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09306690214375228,0.05876457588883533,0.0,0.0,0.0,0.0,0.0,0.06692590256145185,-0.08246489632898564,0.07490247059839815,1.0,0.05101377683384702,0.0,0.05096493663763026,0.0,0.0,0.1150379927457684,-0.17266531085150447,0.09503559727581812,0.0,0.0,0.05800840587954373,0.0,0.0,0.0,0.166884371877166,-0.05437924227533408,0.0,0.0,0.055405037758709426,0.0780892589251301,-0.10099165872571528,0.0,0.0,-0.06015083267776317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1335844261705431,0.0,0.23473108272871498,0.0,0.0,0.0,0.0,0.10127057613034918,0.0
"Cluster 3178Rv2777c, Rv2777c, FF domain protein_2",-0.22496505253931284,0.1068193433617361,0.2078246488169709,0.14013591475537884,-0.20383625867917743,-0.06070442291834551,0.06702718367923073,0.0,0.0,-0.07143576695423975,0.0,-0.07564421070895912,0.0,0.0,0.0,0.0,0.0,0.11868271131597445,0.0,0.05101377683384702,1.0,0.0,0.0,-0.05594664762456765,0.0,0.06284176426722307,0.0,0.5702039070783158,0.0,0.18251272632458368,0.0,0.0,0.09600754558742254,-0.10631080006164033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11150023231626643,0.05501813419398831,-0.1923874655018086,0.18042658099664818,0.0,0.0,0.0,0.0,0.0,0.0,-0.12014586044102317,0.07099180450654785,0.0,-0.17452172945824262,-0.07332085324541217,0.0,0.12230080902974402,0.24141184526244353
"Cluster 577Rv1683, Rv1683, Polyhydroxyalkanoic acid synthase_3",-0.26134791774202093,0.07773063375618976,0.1565611637035176,0.0,0.0,0.0,-0.1191658704876051,-0.06560904603907075,0.0,-0.058172031069641784,0.0,0.1621540856627963,0.05186626945623436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05968631731664521,0.12685563790858229,0.0,0.0,-0.06731216478922551,0.055743840344985945,0.0,0.0,0.0,0.0,0.0,0.05286533173751862,0.0,0.18771314888427387,-0.22221255996252431,0.14583691024817935,0.0,0.0,0.0,-0.09317868851202674,0.0773750366080673,0.0,-0.08455610686140956,0.0,0.053738127315059434,0.053341272567510305,0.0,0.0,0.19082454940860163,0.07346186023234229,0.0,0.23717732495653485,0.1749001047449087,-0.06406041478776166,0.0,0.0,0.07504568450258034,0.064083454516489
"Cluster 3881Rv3312c, Rv3312c, Hydrolase, alpha/beta hydrolase fold family_2",-0.11049545321978783,0.0,0.0,0.0,-0.18004704653313489,-0.08557530553143496,-0.06148813424476725,0.0,0.16443686156476492,0.0,-0.05552882623654469,0.0,0.0,0.0,0.0,0.0,0.0,-0.06388788155793429,-0.05530223537799488,0.05096493663763026,0.0,0.05968631731664521,1.0,0.0,0.0,0.0,0.06727712232202553,0.0,0.0,0.10479559911504342,0.0,0.0,0.13358163442268553,0.0,0.0,0.0,-0.09035384480414393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09706457966633052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0912164648142395,0.0,0.0
"Cluster 3865Rv1244, lpqZ, Glycine betaine/L-proline transport substrate-binding protein ProX (TC 3.A.1.12.1)_3",-0.3138238259858893,0.11261921329250077,0.1620822827469095,0.1038172139828564,0.0,-0.14945355490117262,-0.15886065101518693,-0.06889302191574669,0.13986433984368848,-0.06478836206318217,0.0,0.8960988245609596,0.0,0.1392062616927904,0.0,0.061253865696434796,0.12295271730439891,0.0,0.0,0.0,-0.05594664762456765,0.12685563790858229,0.0,1.0,0.0,0.0,0.0,0.0,0.10762006172625226,0.0925659382757128,0.0,0.0,0.0,0.0,-0.07849504693608911,0.3023930203422123,-0.20554272292263304,0.0,0.0,0.0,0.0,0.0,0.0,0.07963789268740998,0.0,0.0,0.0,0.11127463336780145,0.0,0.0,0.40511431062988235,0.0,0.0,0.0,0.4142625751471694,-0.21443418488991572,0.0,0.0,0.07195432501864948,0.0
"Cluster 2940Rv2265, Rv2265, Uncharacterized protein Rv2265/MT2327_3",-0.06067260033495029,0.0,0.0,0.0,0.0,-0.1082135910702926,0.062680269222541,0.0,-0.058524660338678015,0.0,0.0,0.0,0.185005415369099,0.0,0.0,-0.05022102049617526,0.0,0.057890581905796545,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05048773999258333,0.0,-0.10998978512298802,0.0,0.0,0.9645001551335524,0.0,0.0,-0.20715422392070917,0.0,0.09852737815267307,0.0,0.0,0.0,-0.06682728858599231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06577932431282482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14657335757349746,0.15407079226602172,0.0,0.0
"Cluster 5862Rv3055, Rv3055, Transcriptional regulator, AcrR family_2",-0.1742805420170579,0.14877517897555545,0.06543164283393092,0.07197512522582683,-0.1169523976435015,0.0,0.0,0.0,-0.08210875818936997,0.0,0.0,0.0,0.05152349779994135,0.0,0.0,0.0,0.0,0.0,0.0,0.1150379927457684,0.06284176426722307,0.0,0.0,0.0,0.05048773999258333,1.0,0.0,0.05559167089528414,0.0,0.17035314037196264,0.06387415867500917,0.0566032595261424,0.0,0.0,-0.10722939473617907,0.0,0.0797962933870036,0.0,-0.20037848972232608,0.2943007869014815,0.0,-0.10643741527541035,0.0,0.050409829436376966,0.0,0.06055935069004906,0.06002863862761772,0.10163780782580849,0.0,0.05772554486756878,0.0,-0.06334145714831123,-0.05811769523114189,-0.08788587230238311,0.0,0.0,0.0,-0.10478287953793772,0.0967066052387193,0.0
"Cluster 3137Rv2786c, ribF, FMN adenylyltransferase (EC 2.7.7.2) / Riboflavin kinase (EC 2.7.1.26)_3",0.08572037125846542,0.0,0.0,-0.08313783911634608,-0.06732292432805063,0.05289825413980945,0.073405631335468,0.05390947834704095,0.0,0.05652272470635821,0.056165021397082814,0.0,0.0,0.0,-0.09692612461769201,-0.10351648743624314,0.0,0.056096698279517014,0.0,-0.17266531085150447,0.0,-0.06731216478922551,0.06727712232202553,0.0,0.0,0.0,1.0,-0.061388702816619296,0.0,-0.1338145903784885,0.0,0.1214887496316639,0.0616389838949753,0.10978091514886175,0.0,0.0,0.12514160969150984,-0.0549680820993048,0.0,0.05514152285295836,0.0,-0.07044365722001371,0.0,0.40342179168911635,-0.054146944005020375,0.0,0.0,0.0,0.0,-0.08501278982276197,0.0,-0.10840637929232178,-0.13412057046093587,0.0,0.0,0.0,0.0,-0.08828689934229424,-0.1326940218969122,0.0
"Cluster 3178Rv2777c, Rv2777c, FF domain protein_7",-0.17922511330284283,0.09888001530869006,0.12007004200106522,0.125209696726757,0.0,0.0,0.06734835852941355,-0.07565309293967956,0.0,-0.050482911575920775,0.0,0.0,0.11344539405097512,-0.13860864971941048,0.0,0.0,0.0,0.0,0.0,0.09503559727581812,0.5702039070783158,0.055743840344985945,0.0,0.0,-0.10998978512298802,0.05559167089528414,-0.061388702816619296,1.0,0.0,0.07715328550649626,-0.09382268670789257,0.0,-0.1551432389493819,0.0,0.0,0.08722682179883856,0.0,0.0,0.0,0.0,0.05307151816535779,0.0,0.11044661447547507,0.0,-0.32328612980445487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05537077825795492,-0.23922627736033097,0.0,0.0,0.07768820436645128,0.3112800843880744
"Cluster 5665Rv0956, purN, Phosphoribosylglycinamide formyltransferase (EC 2.1.2.2)_4",-0.1739156373723381,0.0882997243434418,0.0,0.1361172322081332,0.0,0.0,-0.05753761273079778,-0.06542765132791699,0.21620118872392985,0.0,0.0,0.057500459378490805,-0.05386500526765817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10762006172625226,0.0,0.0,0.0,0.0,1.0,0.2080491744246182,0.0,0.0,0.06532782354468954,-0.15769917822007054,0.0,0.0,0.0,0.0,0.0,-0.08267700233005505,0.0,0.0,0.09111619484704084,0.0,0.0,0.0,0.10244451984360817,0.0,-0.06556042345653477,0.051836419580238095,0.0,0.0,0.07627450893213704,0.0,0.0,-0.36105940228261735,0.0,0.0,0.0,0.0
"Cluster 5263Rv1151c, Rv1151c, NAD-dependent protein deacetylase of SIR2 family_1",-0.22286123549990206,0.17497069047180294,0.11943275210279305,0.16113806164526137,-0.1838539524772243,0.0,0.0,0.0,0.11948838977930781,0.0,0.0,0.06384371233146685,0.0,-0.10746530842332441,0.0,-0.062448491111970414,0.05373551582771847,0.0,0.0,0.0,0.18251272632458368,0.0,0.10479559911504342,0.0925659382757128,0.0,0.17035314037196264,-0.1338145903784885,0.07715328550649626,0.2080491744246182,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10100907126658494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07306171887204578,0.09101813057918755,0.0,0.06384381005634904,0.0,0.0,0.0,0.0,0.0,-0.24672239847835822,0.0,0.0,0.08174347735082842,0.0
"Cluster 2940Rv2265, Rv2265, Uncharacterized protein Rv2265/MT2327_1",-0.08366943195628265,0.0,0.0,0.0,0.0,-0.10082328465104645,0.05407739314983723,0.0,0.0,0.0,0.0,0.0,0.17143620583170627,0.0,0.0,0.0,0.0,0.06078462246769404,0.0,0.05800840587954373,0.0,0.0,0.0,0.0,0.9645001551335524,0.06387415867500917,0.0,-0.09382268670789257,0.0,0.0,1.0,0.0,0.0,-0.17973630918647554,0.0,0.07607586747936779,0.0,0.0,0.0,-0.10339910191036895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07238949329120906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10649205670115794,0.1969961975151698,0.0,0.0
"Cluster 2980Rv2780, ald, Alanine dehydrogenase (EC 1.4.1.1)_4",0.12569798758409578,-0.148452220271765,-0.07101757073107731,0.0,0.0,0.0,0.1493083605433474,0.0,-0.10792698334747607,0.12503838453541655,0.0,0.0,-0.07890591572395066,0.0,-0.22454981717582131,0.0,-0.1265644398832687,0.0,0.06666655453279871,0.0,0.0,0.0,0.0,0.0,0.0,0.0566032595261424,0.1214887496316639,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1337474634655565,0.0,0.0,0.0,0.0,0.0,0.0,0.10600621261275632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3390318782294026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Cluster 1039Rv1563c, treY, Malto-oligosyltrehalose synthase (EC 5.4.99.15)_1",-0.11179874854361614,0.07499556659147728,0.06036929750553108,0.16770417501626791,0.0,0.05341312424417992,0.0,-0.0723764386146506,0.0,-0.0508150524693545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1477971118100906,0.0,0.0,0.09600754558742254,0.0,0.13358163442268553,0.0,0.0,0.0,0.0616389838949753,-0.1551432389493819,0.06532782354468954,0.0,0.0,0.0,1.0,-0.20370948574692826,0.12662813648550947,-0.06410573330639817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17293805765174033,0.0,0.0,0.0,0.0,0.0,0.0,-0.05435050613628937,0.0,0.0,-0.11860292221382163,0.0,0.0,0.0,0.0
"Cluster 4913Rv1339, Rv1339, Metal-dependent hydrolases of the beta-lactamase superfamily III_2",0.11349009030014345,-0.10891590241682765,-0.15079226649606928,0.0,0.0,0.0,0.0,0.0,-0.07915606826845037,0.0,0.08674353657317602,0.0,0.0,0.0,0.0,-0.14249498006905936,0.0,-0.06431510655764515,0.07232391955664513,0.0,-0.10631080006164033,0.05286533173751862,0.0,0.0,-0.20715422392070917,0.0,0.10978091514886175,0.0,-0.15769917822007054,0.0,-0.17973630918647554,0.0,-0.20370948574692826,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06133227731876565,-0.05344512344686114,0.0,0.0,0.0,-0.09863875033851535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21120246584228364,0.05219255595682866,0.0,0.0,0.0
"Cluster 3386Rv3041c, Rv3041c, ABC transporter, ATP-binding protein_2",0.07277852450692553,-0.059421206800617084,0.0,-0.08293921240367672,0.0,0.1887427399386228,0.13381689295363403,-0.06759926161096834,-0.10906841568187878,0.0,0.0,0.0,0.0,0.0,-0.15308978677635568,-0.17332952457969444,0.0,0.0,0.0,0.166884371877166,0.0,0.0,0.0,-0.07849504693608911,0.0,-0.10722939473617907,0.0,0.0,0.0,0.0,0.0,0.0,0.12662813648550947,0.0,1.0,0.0,0.0525364085609312,0.0,0.44016647928692726,0.0,0.05881798279662144,0.0,0.0,0.052196412778477065,0.0,0.0,0.0,0.0,-0.08774859524256677,0.0,0.0,0.0,0.0,0.062229864910453715,0.0,0.0,0.0,0.0,0.0,0.0
"Cluster 4737Rv1964, yrbE3A, Conserved hypothetical integral membrane protein YrbEa_3",-0.19653444107830084,0.05578447983930023,0.20208815298121674,-0.05686484446884554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.327407898620824,0.0,0.0,0.08769442022912173,0.0,0.0,0.0,0.0,-0.05437924227533408,0.0,0.18771314888427387,0.0,0.3023930203422123,0.09852737815267307,0.0,0.0,0.08722682179883856,0.0,0.0,0.07607586747936779,0.0,-0.06410573330639817,0.0,0.0,1.0,-0.19437440093453093,0.0,-0.0783721277562217,0.0,0.0934841417000723,0.0,0.0,0.0,0.0,0.0,0.0,0.10832712870729676,0.0,0.0,0.389092137028401,0.1307657542664832,0.0,0.0,0.3891156564017178,0.0,0.0,0.0,0.0,0.0
"Cluster 4498Rv0838, lpqR, D-alanyl-D-alanine dipeptidase (EC 3.4.13.22)_2",0.24668154437557646,-0.08284799906094178,-0.12635779476665346,0.0,0.0,0.08528555169035405,0.1361448040489312,0.0530369317799859,0.0,0.10627823335417438,0.0,-0.22564057986775388,0.0,0.08473883065406218,-0.3536276218521893,0.0,0.0,0.0,0.0,0.0,0.0,-0.22221255996252431,-0.09035384480414393,-0.20554272292263304,0.0,0.0797962933870036,0.12514160969150984,0.0,0.0,-0.10100907126658494,0.0,0.1337474634655565,0.0,0.0,0.0525364085609312,-0.19437440093453093,1.0,0.0,0.0,0.057033388099348055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05158224454836966,0.0,0.0,-0.1677959239101359,-0.5334619328730861,0.0,-0.15507374656666986,-0.18084767910185112,0.05504543991276904,0.0,-0.14166670005948842,0.0,0.0
"Cluster 441Rv3300c, Rv3300c, Arylsulfatase (EC 3.1.6.1)_6",-0.10441787787317247,0.05149271454499134,0.057887036187984124,0.0,-0.12943528264646764,0.0,-0.17878413796973783,-0.13552569201486528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14583691024817935,0.0,0.0,0.0,0.0,-0.0549680820993048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23070544430225096,0.26882190880761153,0.0,0.0,-0.10707689513601155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Cluster 3386Rv3041c, Rv3041c, ABC transporter, ATP-binding protein_4",0.20642784214128587,-0.1526600507675711,-0.10244480973429673,-0.11743365953342769,0.0,0.0,0.14216283340029282,-0.06420204080027778,-0.14951648116071042,0.06261253025508307,0.0,0.0,0.0,0.1006195876742796,-0.26235605610224333,-0.15213418021524752,0.0,0.0,0.0,0.055405037758709426,0.0,0.0,0.0,0.0,0.0,-0.20037848972232608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44016647928692726,-0.0783721277562217,0.0,0.0,1.0,0.0,0.08849268697478817,0.0,0.0,-0.05565929748218791,0.0,0.0,0.0,0.0,0.0,-0.05108384163022598,0.0,-0.10633931121599478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Cluster 5862Rv3055, Rv3055, Transcriptional regulator, AcrR family_4",0.12186108183270057,-0.11493119507321153,0.0,-0.12712824950172685,0.0,0.0614129005066771,0.0,0.0,0.0,0.15086452574669532,0.0,-0.05466549658996145,0.07076556140883013,0.0,-0.08847869849804477,0.06791848722581045,0.0,0.0,0.0,0.0780892589251301,0.0,0.0,0.0,0.0,-0.06682728858599231,0.2943007869014815,0.05514152285295836,0.0,-0.08267700233005505,0.0,-0.10339910191036895,0.0,0.0,0.0,0.0,0.0,0.057033388099348055,0.0,0.0,1.0,0.0,-0.14246952224379494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07936061998180623,0.0,-0.14398346523081235,0.0,0.0,0.0,-0.22388557912011092,0.0,0.0
"Cluster 2401Rv0473, Rv0473, putative membrane protein_3",0.0793915515911087,-0.075224997121827,-0.05075972655337248,-0.13382357889216023,0.0,0.0542018658178288,0.05117826142450146,0.0,0.0,0.051467207553480075,0.0,0.0,0.0,0.06048347160061053,-0.12014798954519774,0.0,0.0,0.0,0.0,-0.10099165872571528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05307151816535779,0.0,0.0,0.0,0.0,0.0,-0.06133227731876565,0.05881798279662144,0.0934841417000723,0.0,0.0,0.08849268697478817,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12254625442099792,0.0,0.0,-0.08860764668789382,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Cluster 581Rv3887c, eccD2, Serine protease mycosin MycP5, component of Type VII secretion system ESX-5_16",0.08663301677488729,-0.13855886301091283,0.0,0.0,0.0,-0.07646565721263054,0.05617941921645625,0.0,0.0,0.06879183660359603,0.0,0.0,0.0,0.0,0.0,-0.07226665863505362,0.0,-0.050632851753719295,0.0,0.0,0.0,-0.09317868851202674,0.0,0.0,0.0,-0.10643741527541035,-0.07044365722001371,0.0,0.0,0.0,0.0,0.0,0.0,-0.05344512344686114,0.0,0.0,0.0,0.0,0.0,-0.14246952224379494,0.0,1.0,-0.09900330346201955,-0.06137475032716016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07023139624189789,0.0,0.0,0.0
