,"Cluster 551Rv3795, embB, Integral membrane indolylacetylinositol arabinosyltransferase EmbB (EC 2.4.2.-)_9","Cluster 551Rv3795, embB, Integral membrane indolylacetylinositol arabinosyltransferase EmbB (EC 2.4.2.-)_10","Cluster 551Rv3795, embB, Integral membrane indolylacetylinositol arabinosyltransferase EmbB (EC 2.4.2.-)_11","Cluster 4244Rv3806c, ubiA, 5-Phosphoribosyl diphosphate (PRPP): decaprenyl-phosphate 5-phosphoribosyltransferase (EC 2.4.2.45)_3","Cluster 3909Rv3848, Rv3848, FIG037441: Conserved transmembrane protein_2","Cluster 551Rv3795, embB, Integral membrane indolylacetylinositol arabinosyltransferase EmbB (EC 2.4.2.-)_2","Cluster 969Rv2614c, thrS, Threonyl-tRNA synthetase (EC 6.1.1.3)_2","Cluster 6118Rv2390c, Rv2390c, FIG00821219: MCE associated membrane protein_2","Cluster 2954Rv3423c, alr, Alanine racemase (EC 5.1.1.1)_2","Cluster 1396Rv0669c, Rv0669c, Alkaline ceramidase_2","Cluster 3176Rv1267c, embR, transcriptional regulator, AfsR/DnrI/RedD family_1","Cluster 2263Rv3585, radA, DNA repair protein RadA_2","Cluster 6096Rv1031, kdpC, Potassium-transporting ATPase C chain (EC 3.6.3.12) (TC 3.A.3.7.1)_1","Cluster 3849Rv0265c, Rv0265c, ABC transporter, periplasmic iron-transport lipoprotein_1","Cluster 4348Rv0500, proC, Pyrroline-5-carboxylate reductase (EC 1.5.1.2)_4","Cluster 7750Rv3129, Rv3129, Putative DNA-binding protein_3","Cluster 4417Rv0953c, Rv0953c, N5,N10-methylenetetrahydromethanopterin reductase-related protein, MSMEG5498 family_2","Cluster 4660Rv0687, Rv0687, 3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)_1","Cluster 521Rv1358, Rv1358, Cyclase homology domain / Predicted ATPase / Transcriptional regulator, LuxR family_5","Cluster 969Rv2614c, thrS, Threonyl-tRNA synthetase (EC 6.1.1.3)_1","Cluster 7750Rv3129, Rv3129, Putative DNA-binding protein_1","Cluster 4639Rv2938, drrC, ATP-dependent efflux pump essential for phthiocerol dimycocerosates translocation, integral membrane protein DrrC-like_2","Cluster 4348Rv0500, proC, Pyrroline-5-carboxylate reductase (EC 1.5.1.2)_2","Cluster 2212Rv0346c, ansP2, L-asparagine permease_2","Cluster 3176Rv1267c, embR, transcriptional regulator, AfsR/DnrI/RedD family_3","Cluster 1270Rv2189c, Rv2189c, Phosphatidylinositol alpha-mannosyltransferase (EC 2.4.1.57)_3","Cluster 4660Rv0687, Rv0687, 3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)_3","Cluster 6118Rv2390c, Rv2390c, FIG00821219: MCE associated membrane protein_1","Cluster 1068Rv1633, uvrB, Excinuclease ABC subunit B_2","Cluster 1039Rv1563c, treY, Malto-oligosyltrehalose synthase (EC 5.4.99.15)_1","Cluster 4287Rv2198c, mmpS3, Putative membrane protein MmpS3_3","Cluster 6770Rv1081c, Rv1081c, putative membrane protein_1","Cluster 108Rv3825c, pks2, Polyketide synthase / Multifunctional mycocerosic acid synthase membrane-associated mas_6","Cluster 462Rv3447c, eccC4, FtsK/SpoIIIE family protein EccC4, component of Type VII secretion system ESX-4_7","Cluster 3849Rv0265c, Rv0265c, ABC transporter, periplasmic iron-transport lipoprotein_2","Cluster 4930Rv1221, sigE, Alternative RNA polymerase sigma factor SigE_1","Cluster 2932Rv0391, metZ, O-acetylhomoserine sulfhydrylase (EC 2.5.1.49) / O-succinylhomoserine sulfhydrylase (EC 2.5.1.48)_1","Cluster 152Rv2931, ppsA, Phenolpthiocerol synthesis type-I polyketide synthase PpsA (EC 2.3.1.41)_4","Cluster 2932Rv0391, metZ, O-acetylhomoserine sulfhydrylase (EC 2.5.1.49) / O-succinylhomoserine sulfhydrylase (EC 2.5.1.48)_2","Cluster 3005Rv0848, cysK2, Pyridoxal-5'-phosphate-dependent enzyme beta superfamily (fold type II)_2"
"Cluster 3176Rv1267c, embR, transcriptional regulator, AfsR/DnrI/RedD family_1",-0.1937739672326711,0.0,-0.07562771067563444,-0.27544781490151343,-0.13041251204091697,-0.06963093281663846,-0.05529111421565346,0.0,0.0,0.0,1.0,0.06005111279973743,0.0,0.0,-0.05419784002472617,0.0,0.0,0.0,0.0,-0.14457360001005956,0.0,0.0,0.0,0.0,0.9358298331021997,0.0,-0.05519941819490357,-0.05121137990542364,0.13278248248536353,-0.05812108609835464,-0.11635054274444115,0.0,0.0,0.0,0.0,-0.060863900155884845,0.0,-0.06062509557131079,0.0,0.0
"Cluster 2263Rv3585, radA, DNA repair protein RadA_2",-0.2004979481002062,0.10319432332407118,0.10882583261210615,0.0,0.0,0.0,0.0,0.0,-0.0847464676840982,0.0,0.06005111279973743,1.0,0.0,0.0,0.0,-0.06693156049416103,-0.10490696987098398,0.0,0.0,-0.1189855128143434,-0.0589866230781077,0.0,0.0,0.14636844819573772,0.05259774073276886,0.05231793695404493,0.0,-0.05082946465709458,0.0,0.11206393317331323,0.0,0.06666458314179755,0.0,0.0,-0.05631644725994923,-0.0664893048358147,0.0,0.0,0.0,-0.05932245323414591
"Cluster 6096Rv1031, kdpC, Potassium-transporting ATPase C chain (EC 3.6.3.12) (TC 3.A.3.7.1)_1",0.127047395994892,-0.07231306246178851,-0.07972253758697258,0.09636845325920221,0.0,0.0,-0.057237442083253494,-0.08479050749680524,0.06908897005814371,0.0,0.0,0.0,1.0,0.05155937293547879,-0.13480351491743833,-0.19884317786524755,0.0,0.0,0.0859224812345768,-0.061063077489326656,-0.20101141647469659,0.0,-0.13198697900090978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05677936008525869,0.05081729622308331,0.0,-0.053670269215326215,0.0,0.0
"Cluster 3849Rv0265c, Rv0265c, ABC transporter, periplasmic iron-transport lipoprotein_1",-0.08228532824903666,0.0,0.10185314673937464,0.11730087243393607,-0.09008701419305357,0.0,0.0,0.09747825348386932,0.0,0.0,0.0,0.0,0.05155937293547879,1.0,0.0,0.1055975059271226,0.0,0.0,0.06115425566579304,-0.06351764109119742,0.07660439762637576,0.13208574795104938,0.0,0.0,0.0,0.0,0.0,0.07183843703303744,-0.06450442556122683,-0.05992144774160984,-0.06719601312866527,0.0,0.0,0.0,0.7314177875729666,0.0,0.057566096597159104,0.09626172741692109,0.0,0.0
"Cluster 4348Rv0500, proC, Pyrroline-5-carboxylate reductase (EC 1.5.1.2)_4",-0.22013623559467616,0.06436308595989323,-0.13682367480149377,-0.35630267710158925,-0.061780162038441146,-0.07264429553006858,0.0,0.0,0.0,0.0,-0.05419784002472617,0.0,-0.13480351491743833,0.0,1.0,-0.06514196910372638,0.0,0.0,-0.09078031528089231,0.0,0.0,0.0,0.9631511122752079,0.0,0.0,0.0,-0.05275621445713929,0.0,0.09486064970565318,0.11506517864525533,-0.07124587045108893,0.0,0.0,-0.07791768236925363,-0.06445593653916193,-0.20955385154293235,0.0,0.0,0.0,0.0
"Cluster 7750Rv3129, Rv3129, Putative DNA-binding protein_3",0.0,0.0,-0.11949484037367249,-0.1891014162701405,0.0,-0.05214544046018381,-0.07359795482265405,0.10666773008928836,0.07627894967509848,0.13681212211460572,0.0,-0.06693156049416103,-0.19884317786524755,0.1055975059271226,-0.06514196910372638,1.0,0.0670355114234501,0.0,0.0,0.0,0.9658957274627271,0.0,-0.06270391239033345,0.0,0.0,0.0,0.0,0.0,-0.09210353498834943,0.13358065857210563,-0.055412404671678794,0.0,0.06494979465091257,0.060343779807899296,0.10284834652035243,0.0,0.0,0.07483659332003534,0.0,0.0
"Cluster 4417Rv0953c, Rv0953c, N5,N10-methylenetetrahydromethanopterin reductase-related protein, MSMEG5498 family_2",0.15754970134445137,-0.12523062911009747,-0.18340883504344066,0.0,0.21912650008359544,-0.0734374470701486,0.0,0.0,0.0,-0.18746398835699257,0.0,-0.10490696987098398,0.0,0.0,0.0,0.0670355114234501,1.0,0.0,0.1671076461979912,0.0,0.06422500029514036,-0.1427128249562553,0.0,0.0,-0.05726685628511972,0.0,-0.09014319480525274,0.0,0.0,0.0,0.0,-0.1628760671892506,-0.13306658650576836,0.12213550270045775,0.0,0.0,0.07168213224858919,-0.08141154410784024,0.09676439658056324,0.0
"Cluster 4660Rv0687, Rv0687, 3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)_1",-0.1726524879091177,0.06646164662058637,0.15067791015574253,0.11869435348366777,-0.13297700742131377,0.0,0.0,0.0,0.0,0.08003512036123925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.050284742428952096,-0.05596439176876989,0.0,0.1443476515814985,0.0,-0.06606365617169141,0.7763209556412474,0.0,0.0,0.0,0.05943287410870546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07407270234384203
"Cluster 521Rv1358, Rv1358, Cyclase homology domain / Predicted ATPase / Transcriptional regulator, LuxR family_5",0.0828078255737893,-0.19177227807569366,0.0,0.10017867963070537,0.0775571747879803,0.0,0.0,0.05671628337597098,0.0,-0.17621660142500445,0.0,0.0,0.0859224812345768,0.06115425566579304,-0.09078031528089231,0.0,0.1671076461979912,0.0,1.0,0.0,0.0,-0.07551755927328208,-0.08924955505425768,0.0,0.0,0.0,0.0,0.0661192194389269,0.0,-0.1172040894432442,0.0,-0.05596863355836896,-0.08819950157772152,0.0,0.0,0.0,0.0,0.0,-0.09579376375409857,-0.10340622943974892
"Cluster 969Rv2614c, thrS, Threonyl-tRNA synthetase (EC 6.1.1.3)_1",0.10293946331081427,0.0,0.0,0.11504607088927897,0.0,0.0,0.506413628277982,-0.15087517414663243,0.0,0.0,-0.14457360001005956,-0.1189855128143434,-0.061063077489326656,-0.06351764109119742,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.084739927021898,-0.05465249635837214,-0.06931619681320585,-0.11229117725391058,-0.12827296113213466,0.0,-0.08143797483820558,-0.07125374638708619,-0.0797904962857743,0.12003682361455298,0.0,0.0,0.06283660084698252,0.0,0.0670116934382671,0.05475881985299871,0.0,0.07525325280530594,0.08268264111281247
"Cluster 7750Rv3129, Rv3129, Putative DNA-binding protein_1",0.0,0.0,-0.14324981447887025,-0.22578838129190626,0.0,-0.07368509223934241,-0.07913861590519773,0.08973634611627318,0.0821937270995423,0.13695591040429048,0.0,-0.0589866230781077,-0.20101141647469659,0.07660439762637576,0.0,0.9658957274627271,0.06422500029514036,-0.050284742428952096,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14266289221041334,-0.1037062363591589,0.0,0.0,0.06874965459094705,0.07573131180905077,-0.059024782657846275,0.0,0.0753656411282828,0.0,0.0
"Cluster 4639Rv2938, drrC, ATP-dependent efflux pump essential for phthiocerol dimycocerosates translocation, integral membrane protein DrrC-like_2",-0.17227846406519115,0.18492865985346948,0.13147261436309374,0.0,-0.13746607765650673,0.0,0.0,0.11004326311788454,0.0,0.0,0.0,0.0,0.0,0.13208574795104938,0.0,0.0,-0.1427128249562553,-0.05596439176876989,-0.07551755927328208,-0.084739927021898,0.0,1.0,0.0,0.0,0.0,0.06166007981412718,0.0,0.12435763857919642,0.0,-0.053579190000221766,0.0,0.0,0.05091154345690278,-0.18313184648165437,0.116619075421998,0.0,0.0,0.0999950466126592,0.0,0.0
"Cluster 4348Rv0500, proC, Pyrroline-5-carboxylate reductase (EC 1.5.1.2)_2",-0.21868676233614623,0.0,-0.13297531336942864,-0.36984833045429955,-0.0765480181388928,-0.06927019962830316,0.0,0.0,0.0,0.0,0.0,0.0,-0.13198697900090978,0.0,0.9631511122752079,-0.06270391239033345,0.0,0.0,-0.08924955505425768,-0.05465249635837214,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.06989840430683683,0.11179576526012296,-0.07189493555034218,0.0,0.0,-0.07042150600614203,-0.06745089351332564,-0.18573410535214502,0.0,0.0,0.0,0.0
"Cluster 2212Rv0346c, ansP2, L-asparagine permease_2",-0.11228160609033917,0.0,0.10488155555695977,0.09178998142486411,0.0,0.0,0.0,-0.05747494566044396,-0.09890055817193313,0.0,0.0,0.14636844819573772,0.0,0.0,0.0,0.0,0.0,0.1443476515814985,0.0,-0.06931619681320585,0.0,0.0,0.0,1.0,0.0,0.0,0.16183226335425627,0.0,0.0,-0.06152974848527295,0.0,0.0,0.0,0.0,0.0,-0.057314646738943605,-0.05914041718902816,-0.07937101231059679,-0.05983891155122855,-0.06992277311993347
"Cluster 3176Rv1267c, embR, transcriptional regulator, AfsR/DnrI/RedD family_3",-0.13331970414660413,0.0,-0.10691948784900802,-0.278298139233603,-0.12057461521536728,-0.09523526889627339,0.0,0.0,0.0,0.0,0.9358298331021997,0.05259774073276886,0.0,0.0,0.0,0.0,-0.05726685628511972,0.0,0.0,-0.11229117725391058,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.05497891756425594,0.07408553400367719,-0.05425499662348805,-0.11188148374336981,0.0,0.0,0.054130071619005814,0.0,0.0,0.0,-0.05081177156556059,0.0,0.0
"Cluster 1270Rv2189c, Rv2189c, Phosphatidylinositol alpha-mannosyltransferase (EC 2.4.1.57)_3",-0.19513407801343208,0.0,-0.09010310802110205,-0.3424776884753697,0.0,0.0,0.0,0.0,-0.13194906708342596,0.0,0.0,0.05231793695404493,0.0,0.0,0.0,0.0,0.0,-0.06606365617169141,0.0,-0.12827296113213466,0.0,0.06166007981412718,0.0,0.0,0.0,1.0,-0.11158724873249767,0.0,0.08241681612123862,0.0,-0.10585279332463286,0.07005609573442073,-0.060627232640914894,0.05861932122640596,-0.05152814811332598,0.0,-0.15238521151033307,0.0,0.0,0.0
"Cluster 4660Rv0687, Rv0687, 3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)_3",-0.13780304501090887,0.0,0.1576980286961677,0.13455196711692335,-0.1316130922457301,0.0,0.0,0.10867972770235321,0.0,0.1298417903874381,-0.05519941819490357,0.0,0.0,0.0,-0.05275621445713929,0.0,-0.09014319480525274,0.7763209556412474,0.0,0.0,0.0,0.0,0.0,0.16183226335425627,0.0,-0.11158724873249767,1.0,0.1051975787331928,0.0,-0.05921277517068838,0.0,0.0,0.0,0.0,0.08879540292062117,0.0,0.0,0.05156229192921109,0.0,0.0
"Cluster 6118Rv2390c, Rv2390c, FIG00821219: MCE associated membrane protein_1",0.0,0.10563283333510064,0.13028634295899294,0.13848728375094768,-0.13480506912188947,0.15508020874822417,0.0,0.8589681083367646,-0.2410857393057981,0.12442117604247985,-0.05121137990542364,-0.05082946465709458,0.0,0.07183843703303744,0.0,0.0,0.0,0.0,0.0661192194389269,-0.08143797483820558,0.0,0.12435763857919642,0.0,0.0,-0.05497891756425594,0.0,0.1051975787331928,1.0,0.0,0.0,0.0,0.0,0.12043405235718403,-0.10568322007318193,0.05956320596232804,0.0,0.0,-0.08832664792952481,-0.09507027460453192,0.0
"Cluster 1068Rv1633, uvrB, Excinuclease ABC subunit B_2",-0.05000280171212306,0.06936726109592631,0.0,-0.11725068958240753,-0.05382523883955561,-0.05802133118329078,0.0,0.0,0.0,-0.06279979746862484,0.13278248248536353,0.0,0.0,-0.06450442556122683,0.09486064970565318,-0.09210353498834943,0.0,0.0,0.0,-0.07125374638708619,0.0,0.0,0.06989840430683683,0.0,0.07408553400367719,0.08241681612123862,0.0,0.0,1.0,0.0,0.0,0.0,0.0820961574289422,0.0,-0.10644452458939117,0.0,-0.1354207046936272,0.10981839425374913,0.0,0.0
"Cluster 1039Rv1563c, treY, Malto-oligosyltrehalose synthase (EC 5.4.99.15)_1",-0.09512096511313381,0.0,0.0,-0.10333456132534416,0.0,0.0,0.0,0.0,0.0,0.07497418749991752,-0.05812108609835464,0.11206393317331323,0.0,-0.05992144774160984,0.11506517864525533,0.13358065857210563,0.0,0.0,-0.1172040894432442,-0.0797904962857743,0.14266289221041334,-0.053579190000221766,0.11179576526012296,-0.06152974848527295,-0.05425499662348805,0.0,-0.05921277517068838,0.0,0.0,1.0,-0.1134286700040291,0.0,0.0,0.07297708548811668,-0.07712478784417676,-0.10068808630913269,0.0,0.0,0.141799375375603,0.0
"Cluster 4287Rv2198c, mmpS3, Putative membrane protein MmpS3_3",0.16072052372960338,0.0,0.0,0.16380581500388647,0.0,0.0,0.0,0.0,0.0,0.0,-0.11635054274444115,0.0,0.0,-0.06719601312866527,-0.07124587045108893,-0.055412404671678794,0.0,0.05943287410870546,0.0,0.12003682361455298,-0.1037062363591589,0.0,-0.07189493555034218,0.0,-0.11188148374336981,-0.10585279332463286,0.0,0.0,0.0,-0.1134286700040291,1.0,0.05048444436692368,0.0,0.0,0.0,0.0,0.0,0.0,-0.09117676546899102,0.09429712792608362
