,clust_to_rv,gene_name,ortho,cog,product,refseq,count,score,name_to_rv,pan
Cluster 10043,0,0,0,0,hypothetical protein,None,28,0.0,0,Acces
Cluster 10044,0,0,0,0,hypothetical protein,None,2,0.0,0,Uniq
Cluster 10045,0,0,0,0,FIG00820052: hypothetical protein,None,2,0.0,0,Uniq
Cluster 10046,0,0,0,0,Sulfate permease,None,1,0.0,0,Uniq
Cluster 10047,0,0,0,0,PE family protein,None,1,0.0,0,Uniq
Cluster 10048,0,0,0,0,FIG00820899: hypothetical protein,None,1,0.0,0,Uniq
Cluster 10049,0,0,0,0,hypothetical protein,None,1,0.0,0,Uniq
Cluster 1005,Rv2748c,ftsK,419947.MRA_2774,D,DNA translocase FtsK,BA33_01551,1593,1687.6,0,Core
Cluster 10050,0,0,0,0,FIG00821367: hypothetical protein,None,1,0.0,0,Uniq
Cluster 10051,0,0,0,0,hypothetical protein,None,1,0.0,0,Uniq
Cluster 10052,0,0,0,0,Conserved alanine and proline rich protein,BA28_03823,1,0.0,0,Uniq
Cluster 10053,0,0,0,0,Integral membrane protein TerC,None,1,0.0,0,Uniq
Cluster 10054,0,0,0,0,hypothetical protein,None,1,0.0,0,Uniq
Cluster 10055,0,0,0,0,FIG00825170: hypothetical protein,AN64_02914,1,0.0,0,Uniq
Cluster 10056,0,0,0,0,hypothetical protein,None,1,0.0,0,Uniq
Cluster 10057,0,0,0,0,hypothetical protein,None,2,0.0,0,Uniq
Cluster 10058,0,0,0,0,FIG00823395: hypothetical protein,None,2,0.0,0,Uniq
Cluster 10059,0,0,0,0,hypothetical protein,None,1,0.0,0,Uniq
Cluster 1006,0,0,0,0,hypothetical protein,None,4,0.0,0,Uniq
Cluster 10060,0,0,0,0,hypothetical protein,None,1,0.0,0,Uniq
Cluster 10061,0,0,0,0,ParA-like membrane-associated ATPase,V736_03517,1,0.0,0,Uniq
Cluster 10062,0,0,0,0,Mobile element protein,None,1,0.0,0,Uniq
Cluster 10063,0,0,0,0,FIG00825170: hypothetical protein,None,2,0.0,0,Uniq
Cluster 10064,0,0,0,0,hypothetical protein,None,1,0.0,0,Uniq
Cluster 10065,0,0,0,0,FIG00821345: hypothetical protein,None,1,0.0,0,Uniq
Cluster 10066,0,0,0,0,hypothetical protein,None,1,0.0,0,Uniq
Cluster 10067,0,0,0,0,hypothetical protein,None,1,0.0,0,Uniq
Cluster 10068,0,0,0,0,FIG00820306: hypothetical protein,None,1,0.0,0,Uniq
Cluster 10069,0,0,0,0,"Transcriptional regulator, IclR family",None,1,0.0,0,Uniq
Cluster 1007,0,0,0,0,hypothetical protein,None,2,0.0,0,Uniq
Cluster 10070,0,0,0,0,hypothetical protein,None,1,0.0,0,Uniq
Cluster 10071,0,0,0,0,FIG00830654: hypothetical protein,None,583,0.0,0,Acces
Cluster 10072,0,0,0,0,FIG00820271: hypothetical protein,None,1537,0.0,0,Acces
Cluster 10073,0,0,0,0,hypothetical protein,None,104,0.0,0,Acces
Cluster 10074,0,0,0,0,FIG00821596: hypothetical protein,None,1595,0.0,0,Core
Cluster 10075,0,0,0,0,FIG00821012: hypothetical protein,None,1593,0.0,0,Core
Cluster 10076,Rv2742c,Rv2742c,0,0,hypothetical protein Rv2742c,Z578_01624,1591,0.0,0,Core
Cluster 10077,0,0,0,0,FIG00820102: hypothetical protein,None,1590,0.0,0,Core
Cluster 10078,0,0,0,0,FIG00820962: hypothetical protein,None,1584,0.0,0,Acces
Cluster 10079,0,0,0,0,FIG00820246: hypothetical protein,None,1539,0.0,0,Acces
Cluster 1008,0,0,0,0,PE-PGRS family protein,X126_01514,5,0.0,0,Acces
Cluster 10080,0,0,0,0,hypothetical protein,None,705,0.0,0,Acces
Cluster 10081,0,0,0,0,FIG00822862: hypothetical protein,None,741,0.0,0,Acces
Cluster 10082,0,0,0,0,FIG00820782: hypothetical protein,None,156,0.0,0,Acces
Cluster 10083,0,0,0,0,hypothetical protein,None,11,0.0,0,Acces
Cluster 10084,0,0,0,0,hypothetical protein,None,40,0.0,0,Acces
Cluster 10085,0,0,0,0,hypothetical protein,None,3,0.0,0,Uniq
Cluster 10086,0,0,0,0,FIG041762: hypothetical protein,None,1,0.0,0,Uniq
Cluster 10087,0,0,0,0,hypothetical protein,None,1,0.0,0,Uniq
Cluster 10088,0,0,0,0,hypothetical protein,None,1,0.0,0,Uniq
Cluster 10089,0,0,0,0,FIG00821989: hypothetical protein,None,1,0.0,0,Uniq
Cluster 1009,0,0,0,0,hypothetical protein,None,1,0.0,0,Uniq
Cluster 10090,0,0,0,0,FIG00820186: hypothetical protein,None,7,0.0,0,Acces
Cluster 10091,0,0,0,0,POSSIBLE METHYLTRANSFERASE (METHYLASE),None,7,0.0,0,Acces
Cluster 10092,0,0,0,0,hypothetical protein,None,2,0.0,0,Uniq
Cluster 10093,0,0,0,0,hypothetical protein,None,21,0.0,0,Acces
Cluster 10094,0,0,0,0,hypothetical protein,None,2,0.0,0,Uniq
Cluster 10095,0,0,0,0,Methylglutaconyl-CoA hydratase (EC 4.2.1.18),None,1,0.0,0,Uniq
Cluster 10096,0,0,0,0,hypothetical protein,None,6,0.0,0,Acces
Cluster 10097,0,0,0,0,hypothetical protein,None,3,0.0,0,Uniq
Cluster 10098,0,0,0,0,"Transcriptional regulator, AsnC family",None,1,0.0,0,Uniq
Cluster 10099,0,0,0,0,hypothetical protein,None,1,0.0,0,Uniq
Cluster 101,Rv1527c,pks5,749414.SBI_01976,Q,Polyketide synthase / Multifunctional mycocerosic acid synthase membrane-associated mas,P931_03061,1592,3702.2,0,Core
Cluster 1010,Rv3481c,Rv3481c,83332.Rv3480c,S,Wax ester synthase/acyl-CoA:diacylglycerol acyltransferase,AO98_03593,1595,1118.6,0,Core
Cluster 10100,0,0,0,0,hypothetical protein,None,1,0.0,0,Uniq
Cluster 10101,0,0,0,0,hypothetical protein,None,1,0.0,0,Uniq
Cluster 10102,0,0,0,0,FIG00824275: hypothetical protein,None,1,0.0,0,Uniq
Cluster 10103,0,0,0,0,hypothetical protein,None,2,0.0,0,Uniq
Cluster 10104,0,0,0,0,PPE family protein,None,1,0.0,0,Uniq
Cluster 10105,0,0,0,0,"Oxidoreductase, short-chain dehydrogenase/reductase family",None,1,0.0,0,Uniq
Cluster 10106,0,0,0,0,hypothetical protein,None,1,0.0,0,Uniq
Cluster 10107,0,0,0,0,hypothetical protein,None,1,0.0,0,Uniq
Cluster 10108,0,0,0,0,hypothetical protein,None,2,0.0,0,Uniq
Cluster 10109,0,0,0,0,Probable serine/threonine protein kinase afsK (EC 2.7.1.-),None,3,0.0,0,Uniq
Cluster 1011,0,0,0,0,hypothetical protein,None,4,0.0,0,Uniq
Cluster 10110,0,0,0,0,FIG00820116: hypothetical protein,None,1,0.0,0,Uniq
Cluster 10111,0,0,0,0,PPE family protein,P962_00357,41,0.0,0,Acces
Cluster 10112,0,0,0,0,hypothetical protein,None,1,0.0,0,Uniq
Cluster 10113,0,0,0,0,hypothetical protein,None,1,0.0,0,Uniq
Cluster 10114,0,0,0,0,hypothetical protein,None,2,0.0,0,Uniq
Cluster 10115,0,0,0,0,hypothetical protein,None,1,0.0,0,Uniq
Cluster 10116,0,0,0,0,FIG00820605: hypothetical protein,None,1,0.0,0,Uniq
Cluster 10117,0,0,0,0,FIG00823229: hypothetical protein,None,1465,0.0,0,Acces
Cluster 10118,0,0,0,0,hypothetical protein,None,1,0.0,0,Uniq
Cluster 10119,0,0,0,0,hypothetical protein,None,1,0.0,0,Uniq
Cluster 1012,0,0,0,0,"Monooxygenase, FAD- and [2Fe-2S]-containing component B",AP29_03852,1,0.0,0,Uniq
Cluster 10120,0,0,0,0,hypothetical protein,None,1,0.0,0,Uniq
Cluster 10121,0,0,0,0,FIG113212: hypothetical protein,None,1,0.0,0,Uniq
Cluster 10122,0,0,0,0,hypothetical protein,None,1,0.0,0,Uniq
Cluster 10123,0,0,0,0,hypothetical protein,None,1,0.0,0,Uniq
Cluster 10124,0,0,0,0,PE-PGRS family protein,None,1,0.0,0,Uniq
Cluster 10125,0,0,0,0,FIG00828279: hypothetical protein,P970_00402,1102,0.0,0,Acces
Cluster 10126,0,0,0,0,PE-PGRS family protein,None,1,0.0,0,Uniq
Cluster 10127,0,0,0,0,hypothetical protein,None,1,0.0,0,Uniq
Cluster 10128,0,0,0,0,PPE family protein,None,1,0.0,0,Uniq
Cluster 10129,0,0,0,0,"Prolyl-tRNA synthetase (EC 6.1.1.15), bacterial type",None,1,0.0,0,Uniq
Cluster 1013,0,0,0,0,hypothetical protein,None,32,0.0,0,Acces
Cluster 10130,0,0,0,0,Hydrogen peroxide-inducible genes activator,None,1,0.0,0,Uniq
Cluster 10131,0,0,0,0,FIG00822504: hypothetical protein,None,1,0.0,0,Uniq
Cluster 10132,0,0,0,0,hypothetical protein,None,40,0.0,0,Acces
Cluster 10133,0,0,0,0,FIG00821000: hypothetical protein,None,1087,0.0,0,Acces
Cluster 10134,0,0,0,0,FIG00821800: hypothetical protein,None,1591,0.0,0,Core
Cluster 10135,0,0,0,0,FIG00822503: hypothetical protein,None,1591,0.0,0,Core
Cluster 10136,0,0,0,0,FIG00821465: hypothetical protein,None,1553,0.0,0,Acces
Cluster 10137,0,0,0,0,FIG00821087: hypothetical protein,None,1589,0.0,0,Core
Cluster 10138,0,0,0,0,FIG00822861: hypothetical protein,None,1595,0.0,0,Core
Cluster 10139,0,0,0,0,FIG00823903: hypothetical protein,None,1593,0.0,0,Core
Cluster 1014,0,0,0,0,PE-PGRS family protein,X188_03467,2,0.0,0,Uniq
Cluster 10140,0,0,0,0,FIG00823331: hypothetical protein,None,1593,0.0,0,Core
Cluster 10141,0,0,0,0,hypothetical protein,None,314,0.0,0,Acces
Cluster 10142,0,0,0,0,hypothetical protein,None,43,0.0,0,Acces
Cluster 10143,0,0,0,0,hypothetical protein,None,203,0.0,0,Acces
Cluster 10144,0,0,0,0,hypothetical protein,None,82,0.0,0,Acces
Cluster 10145,0,0,0,0,hypothetical protein,None,3,0.0,0,Uniq
Cluster 10146,0,0,0,0,FIG00824320: hypothetical protein,None,1592,0.0,0,Core
Cluster 10147,0,0,0,0,hypothetical protein,None,14,0.0,0,Acces
Cluster 10148,0,0,0,0,hypothetical protein,None,2,0.0,0,Uniq
Cluster 10149,0,0,0,0,FIG00824579: hypothetical protein,None,1592,0.0,0,Core
Cluster 1015,0,0,0,0,Vegetative cell wall protein gp1 precursor,AP29_03351,355,0.0,0,Acces
Cluster 10150,0,0,0,0,hypothetical protein,None,38,0.0,0,Acces
Cluster 10151,0,0,0,0,hypothetical protein,None,12,0.0,0,Acces
Cluster 10152,0,0,0,0,hypothetical protein,None,9,0.0,0,Acces
Cluster 10153,0,0,0,0,"ABC transporter, ATP-binding protein",None,12,0.0,0,Acces
Cluster 10154,0,0,0,0,FIG00820249: hypothetical protein,None,1,0.0,0,Uniq
Cluster 10155,0,0,0,0,hypothetical protein,None,2,0.0,0,Uniq
Cluster 10156,0,0,0,0,"NG,NG-dimethylarginine dimethylaminohydrolase 1 (EC 3.5.3.18)",None,1,0.0,0,Uniq
Cluster 10157,0,0,0,0,hypothetical protein,None,14,0.0,0,Acces
Cluster 10158,0,0,0,0,Vegetative cell wall protein gp1 precursor,None,1,0.0,0,Uniq
Cluster 10159,0,0,0,0,"Transcriptional regulator, ArsR family",None,1,0.0,0,Uniq
Cluster 1016,0,0,0,0,hypothetical protein,None,1,0.0,0,Uniq
Cluster 10160,0,0,0,0,hypothetical protein,None,1,0.0,0,Uniq
Cluster 10161,0,0,0,0,hypothetical protein,None,1,0.0,0,Uniq
Cluster 10162,0,0,0,0,hypothetical protein,None,1,0.0,0,Uniq
Cluster 10163,0,0,0,0,PPE family protein,P927_02427,8,0.0,0,Acces
Cluster 10164,0,0,0,0,Mycofactocin precursor,None,1,0.0,0,Uniq
Cluster 10165,0,0,0,0,PxORF73 peptide,None,7,0.0,0,Acces
Cluster 10166,0,0,0,0,hypothetical protein,None,1,0.0,0,Uniq
Cluster 10167,0,0,0,0,hypothetical protein,None,2,0.0,0,Uniq
Cluster 10168,0,0,0,0,hypothetical protein,None,1,0.0,0,Uniq
Cluster 10169,0,0,0,0,PPE family protein,None,1,0.0,0,Uniq
Cluster 1017,0,0,0,0,PE-PGRS family protein,None,1,0.0,0,Uniq
Cluster 10170,0,0,0,0,FIG00820791: hypothetical protein,None,1,0.0,0,Uniq
Cluster 10171,0,0,0,0,hypothetical protein,None,3,0.0,0,Uniq
Cluster 10172,0,0,0,0,hypothetical protein,None,1,0.0,0,Uniq
Cluster 10173,0,0,0,0,FIG00825170: hypothetical protein,None,1,0.0,0,Uniq
Cluster 10174,0,0,0,0,hypothetical protein,None,2,0.0,0,Uniq
Cluster 10175,0,0,0,0,hypothetical protein,None,1,0.0,0,Uniq
Cluster 10176,0,0,0,0,hypothetical protein,None,5,0.0,0,Acces
Cluster 10177,0,0,0,0,FIG00823839: hypothetical protein,None,1,0.0,0,Uniq
Cluster 10178,0,0,0,0,FIG00821978: hypothetical protein,None,1,0.0,0,Uniq
Cluster 10179,0,0,0,0,PE_PGRS,None,1,0.0,0,Uniq
Cluster 1018,Rv3649,Rv3649,419947.MRA_3684,L,ATP-dependent helicase,Z578_00137,1594,1714.1,0,Core
Cluster 10180,0,0,0,0,hypothetical protein,None,3,0.0,0,Uniq
Cluster 10181,0,0,0,0,hypothetical protein,FJ05194_4140,1,0.0,0,Uniq
Cluster 10182,0,0,0,0,hypothetical protein,None,1,0.0,0,Uniq
Cluster 10183,0,0,0,0,FIG006762: Phosphoglycerate mutase family,None,1,0.0,0,Uniq
Cluster 10184,0,0,0,0,PPE family protein,None,1,0.0,0,Uniq
Cluster 10185,0,0,0,0,Possible membrane protein,None,1,0.0,0,Uniq
Cluster 10186,0,0,0,0,hypothetical protein,None,3,0.0,0,Uniq
Cluster 10187,0,0,0,0,hypothetical protein,None,1,0.0,0,Uniq
Cluster 10188,0,0,0,0,PE family protein,X175_01388,1,0.0,0,Uniq
Cluster 10189,0,0,0,0,PE-PGRS family protein,None,1,0.0,0,Uniq
Cluster 1019,Rv0949,uvrD1,419947.MRA_0956,L,ATP-dependent DNA helicase UvrD/PcrA,Z578_01115,1595,1713.3,0,Core
Cluster 10190,0,0,0,0,hypothetical protein,None,3,0.0,0,Uniq
Cluster 10191,0,0,0,0,PE-PGRS family protein,None,1,0.0,0,Uniq
Cluster 10192,0,0,0,0,Uncharacterized glycosyl hydrolase Rv3401,None,2,0.0,0,Uniq
Cluster 10193,0,0,0,0,FIG00823839: hypothetical protein,None,1,0.0,0,Uniq
Cluster 10194,0,0,0,0,Septum site-determining protein MinD @ possible CpaE,None,1,0.0,0,Uniq
Cluster 10195,0,0,0,0,hypothetical protein,None,1,0.0,0,Uniq
Cluster 10196,0,0,0,0,hypothetical protein,None,1,0.0,0,Uniq
Cluster 10197,0,0,0,0,PPE family protein,None,1,0.0,0,Uniq
Cluster 10198,0,0,0,0,hypothetical protein,None,12,0.0,0,Acces
Cluster 10199,0,0,0,0,"Phosphate ABC transporter, periplasmic phosphate-binding protein PstS (TC 3.A.1.7.1)",None,1,0.0,0,Uniq
Cluster 102,Rv1661,pks7,653045.Strvi_4160,Q,Polyketide synthase,P933_01425,1594,6720.8,0,Core
Cluster 1020,Rv1992c,ctpG,350058.Mvan_3641,P,"Lead, cadmium, zinc and mercury transporting ATPase (EC 3.6.3.3) (EC 3.6.3.5); Copper-translocating P-type ATPase (EC 3.6.3.4)",AP52_03263,1592,964.7,0,Core
Cluster 10200,0,0,0,0,hypothetical protein,None,1,0.0,0,Uniq
Cluster 10201,0,0,0,0,FIG00820025: hypothetical protein,None,1,0.0,0,Uniq
Cluster 10202,0,0,0,0,Metallopeptidase,None,1,0.0,0,Uniq
Cluster 10203,0,0,0,0,PPE family protein,None,1,0.0,0,Uniq
Cluster 10204,0,0,0,0,hypothetical protein,None,1,0.0,0,Uniq
Cluster 10205,0,0,0,0,hypothetical protein,None,1113,0.0,0,Acces
Cluster 10206,0,0,0,0,hypothetical protein,None,468,0.0,0,Acces
Cluster 10207,0,0,0,0,FIG00820133: hypothetical protein,None,1579,0.0,0,Acces
Cluster 10208,0,0,0,0,FIG00820997: hypothetical protein,None,1545,0.0,0,Acces
Cluster 10209,0,0,0,0,FIG00820134: hypothetical protein,None,1556,0.0,0,Acces
Cluster 1021,0,0,0,0,PE-PGRS family protein,W078_00800,26,0.0,0,Acces
Cluster 10210,0,0,0,0,FIG00821091: hypothetical protein,None,1594,0.0,0,Core
Cluster 10211,Rv0749A,Rv0749A,83332.Rv2807,L,Rv3128c-like protein,Z578_03509,1585,68.8,0,Acces
Cluster 10212,0,0,0,0,FIG00821018: hypothetical protein,None,1536,0.0,0,Acces
Cluster 10213,0,0,0,0,FIG00826052: hypothetical protein,None,1584,0.0,0,Acces
Cluster 10214,0,0,0,0,FIG00822976: hypothetical protein,None,1592,0.0,0,Core
Cluster 10215,0,0,0,0,hypothetical protein,None,349,0.0,0,Acces
Cluster 10216,0,0,0,0,PPE family protein,None,281,0.0,0,Acces
Cluster 10217,0,0,0,0,hypothetical protein,None,830,0.0,0,Acces
Cluster 10218,0,0,0,0,hypothetical protein,None,236,0.0,0,Acces
Cluster 10219,0,0,0,0,hypothetical protein,None,78,0.0,0,Acces
Cluster 1022,0,0,0,0,PE-PGRS family protein,W060_01135,474,0.0,0,Acces
Cluster 10220,0,0,0,0,hypothetical protein,None,61,0.0,0,Acces
Cluster 10221,0,0,0,0,hypothetical protein,None,37,0.0,0,Acces
Cluster 10222,0,0,0,0,hypothetical protein,None,1,0.0,0,Uniq
Cluster 10223,0,0,0,0,hypothetical protein,None,14,0.0,0,Acces
Cluster 10224,0,0,0,0,FIG00822734: hypothetical protein,None,100,0.0,0,Acces
Cluster 10225,0,0,0,0,hypothetical protein,None,21,0.0,0,Acces
Cluster 10226,0,0,0,0,FIG00823185: hypothetical protein,None,881,0.0,0,Acces
Cluster 10227,0,0,0,0,hypothetical protein,None,3,0.0,0,Uniq
Cluster 10228,0,0,0,0,Mobile element protein,None,6,0.0,0,Acces
Cluster 10229,0,0,0,0,hypothetical protein,None,1,0.0,0,Uniq
Cluster 1023,Rv3693,Rv3693,419947.MtubH3_010100023495,S,putative membrane protein,AO54_00184,1595,664.0,0,Core
Cluster 10230,0,0,0,0,hypothetical protein,None,59,0.0,0,Acces
Cluster 10231,0,0,0,0,hypothetical protein,None,46,0.0,0,Acces
Cluster 10232,0,0,0,0,hypothetical protein,None,1,0.0,0,Uniq
Cluster 10233,0,0,0,0,hypothetical protein,None,17,0.0,0,Acces
Cluster 10234,0,0,0,0,hypothetical protein,None,2,0.0,0,Uniq
Cluster 10235,0,0,0,0,hypothetical protein,None,1,0.0,0,Uniq
Cluster 10236,0,0,0,0,CONSERVED HYPOTHETICAL PROTEIN [FIRST PART],X446_00730,5,0.0,0,Acces
Cluster 10237,0,0,0,0,FIG00821328: hypothetical protein,None,1,0.0,0,Uniq
Cluster 10238,0,0,0,0,hypothetical protein,None,1,0.0,0,Uniq
Cluster 10239,0,0,0,0,HNH endonuclease domain protein,None,1,0.0,0,Uniq
Cluster 1024,0,0,0,0,PPE family protein,None,1,0.0,0,Uniq
Cluster 10240,0,0,0,0,hypothetical protein,None,10,0.0,0,Acces
Cluster 10241,0,0,0,0,FIG00825170: hypothetical protein,None,1,0.0,0,Uniq
Cluster 10242,0,0,0,0,hypothetical protein,None,1,0.0,0,Uniq
Cluster 10243,0,0,0,0,PPE family protein,None,1,0.0,0,Uniq
Cluster 10244,0,0,0,0,hypothetical protein,None,1,0.0,0,Uniq
Cluster 10245,0,0,0,0,hypothetical protein,None,1,0.0,0,Uniq
Cluster 10246,0,0,0,0,hypothetical protein,None,2,0.0,0,Uniq
Cluster 10247,0,0,0,0,hypothetical protein,None,1,0.0,0,Uniq
Cluster 10248,0,0,0,0,Proline iminopeptidase (EC 3.4.11.5),None,6,0.0,0,Acces
Cluster 10249,0,0,0,0,FIG00822951: hypothetical protein,None,1,0.0,0,Uniq
Cluster 1025,0,0,0,0,PPE family protein,None,1,0.0,0,Uniq
Cluster 10250,0,0,0,0,FIG00821924: hypothetical protein,None,1,0.0,0,Uniq
Cluster 10251,0,0,0,0,hypothetical protein,None,2,0.0,0,Uniq
Cluster 10252,0,0,0,0,hypothetical protein,None,1,0.0,0,Uniq
Cluster 10253,0,0,0,0,putative integral membrane protein,None,1,0.0,0,Uniq
Cluster 10254,0,0,0,0,FIG00823823: hypothetical protein,None,1,0.0,0,Uniq
Cluster 10255,0,0,0,0,Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3),FJ05194_4139,1,0.0,0,Uniq
Cluster 10256,0,0,0,0,hypothetical protein,None,1,0.0,0,Uniq
Cluster 10257,0,0,0,0,Transmembrane serine/threonine-protein kinase I PknI (EC 2.7.11.1),None,1,0.0,0,Uniq
Cluster 10258,0,0,0,0,Pterin-4-alpha-carbinolamine dehydratase ,None,1,0.0,0,Uniq
Cluster 10259,0,0,0,0,hypothetical protein,None,1,0.0,0,Uniq
Cluster 1026,0,0,0,0,hypothetical protein,None,5,0.0,0,Acces
Cluster 10260,0,0,0,0,hypothetical protein,None,2,0.0,0,Uniq
Cluster 10261,0,0,0,0,PE family protein,None,1,0.0,0,Uniq
Cluster 10262,0,0,0,0,Thiol:disulfide oxidoreductase related to ResA,None,2,0.0,0,Uniq
Cluster 10263,0,0,0,0,hypothetical protein,None,1,0.0,0,Uniq
Cluster 10264,0,0,0,0,hypothetical protein,None,1,0.0,0,Uniq
Cluster 10265,0,0,0,0,hypothetical protein,None,1,0.0,0,Uniq
Cluster 10266,0,0,0,0,FIG00820520: hypothetical protein,None,1,0.0,0,Uniq
Cluster 10267,0,0,0,0,hypothetical protein,None,1,0.0,0,Uniq
Cluster 10268,0,0,0,0,hypothetical protein,None,1,0.0,0,Uniq
Cluster 10269,0,0,0,0,hypothetical protein,None,1,0.0,0,Uniq
Cluster 1027,0,0,0,0,hypothetical protein,None,31,0.0,0,Acces
Cluster 10270,0,0,0,0,hypothetical protein,None,1,0.0,0,Uniq
Cluster 10271,0,0,0,0,FIG00821340: hypothetical protein,None,1,0.0,0,Uniq
Cluster 10272,0,0,0,0,FIG00822179: hypothetical protein,None,1594,0.0,0,Core
Cluster 10273,0,0,0,0,FIG00820074: hypothetical protein,None,1594,0.0,0,Core
Cluster 10274,0,0,0,0,hypothetical protein,None,278,0.0,0,Acces
Cluster 10275,0,0,0,0,FIG00826076: hypothetical protein,Z578_00939,593,0.0,0,Acces
Cluster 10276,0,0,0,0,FIG00826393: hypothetical protein,None,1432,0.0,0,Acces
Cluster 10277,0,0,0,0,hypothetical protein,None,1595,0.0,0,Core
Cluster 10278,0,0,0,0,FIG00820017: hypothetical protein,None,1593,0.0,0,Core
Cluster 10279,0,0,0,0,FIG00824171: hypothetical protein,None,830,0.0,0,Acces
Cluster 1028,Rv2783c,gpsI,419947.MRA_2807,J,Polyribonucleotide nucleotidyltransferase (EC 2.7.7.8),W067_02895,1595,1621.1,0,Core
